map_name,hero_name,role,usage_count,pick_count,pick_rate
Watchpoint: Gibraltar,Venture,DPS,7,7,0.021
Watchpoint: Gibraltar,Bastion,DPS,6,6,0.018
Watchpoint: Gibraltar,Lifeweaver,Support,4,4,0.0156
Watchpoint: Gibraltar,Zenyatta,Support,4,4,0.0156
Watchpoint: Gibraltar,Orisa,Tank,2,2,0.0141
Watchpoint: Gibraltar,Reinhardt,Tank,2,2,0.0141
Watchpoint: Gibraltar,Mei,DPS,3,3,0.009
Watchpoint: Gibraltar,Anran,DPS,3,3,0.009
Watchpoint: Gibraltar,Mercy,Support,2,2,0.0078
Watchpoint: Gibraltar,Soldier: 76,DPS,2,2,0.006
Watchpoint: Gibraltar,Echo,DPS,2,2,0.006
Watchpoint: Gibraltar,Sombra,DPS,2,2,0.006
Watchpoint: Gibraltar,Moira,Support,1,1,0.0039
Watchpoint: Gibraltar,Sierra,DPS,1,1,0.003
Watchpoint: Gibraltar,Pharah,DPS,1,1,0.003
