match_id,tournament_sheet,match_title,event_title,team_top,team_bottom,maps,active_blocks,match_start_row
EMEA - Stage 1__match_0015,EMEA - Stage 1,Round Robin [Bo5],Week 3 | Day 2 | Game 2,Anyone's Legend,Geekay Esports,Lijiang Tower; Esperança; Suravasa; Blizzard World; Havana,5,367
EMEA - Stage 1__match_0016,EMEA - Stage 1,Upper Semifinals [Bo5],Week 4 | Day 1 | Game 1,Twisted Minds,Al Qadsiah,Lijiang Tower; Aatlis; Runasapi,3,393
EMEA - Stage 1__match_0017,EMEA - Stage 1,Upper Semifinals [Bo5],Week 4 | Day 1 | Game 2,Virtus.pro,Geekay Esports,Oasis; Runasapi; Blizzard World; Havana; Suravasa,5,419
EMEA - Stage 1__match_0018,EMEA - Stage 1,Lower Semifinals [Bo5],Week 4 | Day 2 | Game 1,Al Qadsiah,Virtus.pro,Lijiang Tower; Havana; Aatlis,3,445
EMEA - Stage 1__match_0019,EMEA - Stage 1,Upper Finals [Bo5],Week 4 | Day 2 | Game 2,Twisted Minds,Geekay Esports,Lijiang Tower; Runasapi; Havana,3,471
EMEA - Stage 1__match_0020,EMEA - Stage 1,Lower Finals [Bo5],Week 4 | Day 3 | Game 1,Geekay Esports,Virtus.pro,Lijiang Tower; Runasapi; Suravasa; Havana,4,497
EMEA - Stage 1__match_0021,EMEA - Stage 1,Grand Finals [Bo7],Week 4 | Day 3 | Game 2,Twisted Minds,Virtus.pro,Lijiang Tower; Aatlis; Rialto; Midtown; Runasapi,5,523
North America - Stage 1__match_0001,North America - Stage 1,Round Robin [Bo5],Week 1 | Day 1 | Game 1,Dallas Fuel,Disguised,Lijiang Tower; Rialto; Suravasa; Midtown,4,3
North America - Stage 1__match_0002,North America - Stage 1,Round Robin [Bo5],Week 1 | Day 1 | Game 2,Spacestation Gaming,LuneX Gaming,Lijiang Tower; Watchpoint: Gibraltar; Suravasa,3,29
North America - Stage 1__match_0003,North America - Stage 1,Round Robin [Bo5],Week 1 | Day 1 | Game 3,Team Liquid,Extinction,Oasis; Watchpoint: Gibraltar; Esperança; Suravasa; Blizzard World,5,55
North America - Stage 1__match_0004,North America - Stage 1,Round Robin [Bo5],Week 1 | Day 2 | Game 1,Spacestation Gaming,Disguised,Lijiang Tower; Rialto; Aatlis; Numbani; Runasapi,5,81
North America - Stage 1__match_0005,North America - Stage 1,Round Robin [Bo5],Week 1 | Day 2 | Game 2,LuneX Gaming,Extinction,Lijiang Tower; Esperança; Suravasa,3,107
North America - Stage 1__match_0006,North America - Stage 1,Round Robin [Bo5],Week 2 | Day 1 | Game 1,Team Liquid,Dallas Fuel,Lijiang Tower; Aatlis; Watchpoint: Gibraltar,3,133
North America - Stage 1__match_0007,North America - Stage 1,Round Robin [Bo5],Week 2 | Day 1 | Game 2,Disguised,Extinction,Lijiang Tower; Rialto; Aatlis,3,159
North America - Stage 1__match_0008,North America - Stage 1,Round Robin [Bo5],Week 2 | Day 2 | Game 1,Dallas Fuel,LuneX Gaming,Oasis; Runasapi; Watchpoint: Gibraltar; Aatlis; Blizzard World,5,185
North America - Stage 1__match_0009,North America - Stage 1,Round Robin [Bo5],Week 2 | Day 2 | Game 2,Spacestation Gaming,Extinction,Lijiang Tower; Esperança; Suravasa,3,211
North America - Stage 1__match_0010,North America - Stage 1,Round Robin [Bo5],Week 2 | Day 2 | Game 3,Disguised,Team Liquid,Lijiang Tower; Blizzard World; Havana; Esperança,4,237
North America - Stage 1__match_0011,North America - Stage 1,Round Robin [Bo5],Week 3 | Day 1 | Game 1,Spacestation Gaming,Dallas Fuel,Lijiang Tower; Suravasa; Blizzard World; Rialto; Runasapi,5,263
North America - Stage 1__match_0012,North America - Stage 1,Round Robin [Bo5],Week 3 | Day 1 | Game 2,Team Liquid,LuneX Gaming,Oasis; Runasapi; Suravasa; Watchpoint: Gibraltar,4,289
North America - Stage 1__match_0013,North America - Stage 1,Round Robin [Bo5],Week 3 | Day 2 | Game 1,Disguised,LuneX Gaming,Lijiang Tower; Watchpoint: Gibraltar; Suravasa; Runasapi,4,315
North America - Stage 1__match_0014,North America - Stage 1,Round Robin [Bo5],Week 3 | Day 2 | Game 2,Dallas Fuel,Extinction,Busan; Numbani; Suravasa,3,341
North America - Stage 1__match_0015,North America - Stage 1,Round Robin [Bo5],Week 3 | Day 2 | Game 3,Spacestation Gaming,Team Liquid,Lijiang Tower; Aatlis; Runasapi; Watchpoint: Gibraltar,4,367
North America - Stage 1__match_0016,North America - Stage 1,Upper Semifinals [Bo5],Week 4 | Day 1 | Game 1,Dallas Fuel,LuneX Gaming,Busan; Runasapi; Aatlis,3,393
