tournament_sheet,team_name,map_name,matches_played,wins,losses,win_rate
Pacific - Stage 1,Team Secret,Oasis,2,1,1,0.5
Pacific - Stage 1,FURY,Oasis,2,0,2,0.0
Pacific - Stage 1,Rankers,Oasis,1,0,1,0.0
Pacific - Stage 1,FURY,Rialto,1,1,0,1.0
Pacific - Stage 1,Team Secret,Rialto,2,2,0,1.0
Pacific - Stage 1,Rankers,Rialto,3,2,1,0.6667
Pacific - Stage 1,The Gatos Guapos,Rialto,2,1,1,0.5
Pacific - Stage 1,MieMieYang,Rialto,4,0,4,0.0
Pacific - Stage 1,FURY,Runasapi,1,1,0,1.0
Pacific - Stage 1,Quasar Esports,Runasapi,1,1,0,1.0
Pacific - Stage 1,MieMieYang,Runasapi,2,0,2,0.0
Pacific - Stage 1,The Gatos Guapos,Suravasa,2,2,0,1.0
Pacific - Stage 1,Quasar Esports,Suravasa,2,1,1,0.5
Pacific - Stage 1,Team Secret,Suravasa,2,1,1,0.5
Pacific - Stage 1,FURY,Suravasa,1,0,1,0.0
Pacific - Stage 1,MieMieYang,Suravasa,1,0,1,0.0
Pacific - Stage 1,Team Secret,Watchpoint: Gibraltar,1,1,0,1.0
Pacific - Stage 1,The Gatos Guapos,Watchpoint: Gibraltar,1,1,0,1.0
Pacific - Stage 1,Quasar Esports,Watchpoint: Gibraltar,4,3,1,0.75
Pacific - Stage 1,FURY,Watchpoint: Gibraltar,2,0,2,0.0
Pacific - Stage 1,MieMieYang,Watchpoint: Gibraltar,1,0,1,0.0
Pacific - Stage 1,Rankers,Watchpoint: Gibraltar,1,0,1,0.0
Partner Team Index,Disguised,Lijiang Tower,1,1,0,1.0
Partner Team Index,JD Gaming,Lijiang Tower,1,1,0,1.0
Partner Team Index,Spacestation Gaming,Lijiang Tower,1,1,0,1.0
Partner Team Index,T1,Lijiang Tower,1,1,0,1.0
Partner Team Index,Team Falcons,Lijiang Tower,1,1,0,1.0
Partner Team Index,Team Liquid,Lijiang Tower,1,1,0,1.0
Partner Team Index,Twisted Minds,Lijiang Tower,1,1,0,1.0
Partner Team Index,Virtus.pro,Lijiang Tower,1,1,0,1.0
Partner Team Index,Weibo Gaming,Lijiang Tower,1,1,0,1.0
Partner Team Index,ZETA DIVISION,Lijiang Tower,1,1,0,1.0
Partner Team Index,All Gamers,Lijiang Tower,2,1,1,0.5
Partner Team Index,Crazy Raccoon,Lijiang Tower,2,1,1,0.5
Partner Team Index,Dallas Fuel,Lijiang Tower,2,1,1,0.5
Partner Team Index,Team Peps,Lijiang Tower,2,1,1,0.5
Pre-Season Bootcamp,Twisted Minds,Blizzard World,2,2,0,1.0
Pre-Season Bootcamp,Crazy Raccoon,Blizzard World,3,2,1,0.6667
Pre-Season Bootcamp,T1,Blizzard World,1,0,1,0.0
Pre-Season Bootcamp,Team Falcons,Blizzard World,1,0,1,0.0
Pre-Season Bootcamp,Team Peps,Blizzard World,1,0,1,0.0
Pre-Season Bootcamp,Twisted Minds,Busan,2,2,0,1.0
Pre-Season Bootcamp,Crazy Raccoon,Busan,3,2,1,0.6667
Pre-Season Bootcamp,T1,Busan,1,0,1,0.0
Pre-Season Bootcamp,Team Falcons,Busan,1,0,1,0.0
Pre-Season Bootcamp,Team Peps,Busan,1,0,1,0.0
Pre-Season Bootcamp,Twisted Minds,Colosseo,2,2,0,1.0
Pre-Season Bootcamp,Crazy Raccoon,Colosseo,1,0,1,0.0
Pre-Season Bootcamp,Team Liquid,Colosseo,1,0,1,0.0
Pre-Season Bootcamp,Twisted Minds,Eichenwalde,1,1,0,1.0
Pre-Season Bootcamp,Team Liquid,Eichenwalde,2,1,1,0.5
Pre-Season Bootcamp,Virtus.pro,Eichenwalde,2,1,1,0.5
Pre-Season Bootcamp,All Gamers,Eichenwalde,1,0,1,0.0
Pre-Season Bootcamp,Team Falcons,Esperança,2,2,0,1.0
Pre-Season Bootcamp,Team Liquid,Esperança,1,1,0,1.0
Pre-Season Bootcamp,Team Peps,Esperança,2,2,0,1.0
Pre-Season Bootcamp,Twisted Minds,Esperança,2,1,1,0.5
Pre-Season Bootcamp,Crazy Raccoon,Esperança,3,0,3,0.0
Pre-Season Bootcamp,Disguised,Esperança,1,0,1,0.0
Pre-Season Bootcamp,Weibo Gaming,Esperança,1,0,1,0.0
Pre-Season Bootcamp,Dallas Fuel,Havana,1,1,0,1.0
Pre-Season Bootcamp,Twisted Minds,Havana,1,1,0,1.0
Pre-Season Bootcamp,Weibo Gaming,Havana,1,1,0,1.0
Pre-Season Bootcamp,Team Liquid,Havana,2,1,1,0.5
Pre-Season Bootcamp,T1,Havana,1,0,1,0.0
Pre-Season Bootcamp,Team Falcons,Havana,1,0,1,0.0
Pre-Season Bootcamp,Virtus.pro,Havana,1,0,1,0.0
Pre-Season Bootcamp,Disguised,Ilios,1,1,0,1.0
Pre-Season Bootcamp,Team Falcons,Ilios,1,1,0,1.0
Pre-Season Bootcamp,Virtus.pro,Ilios,1,1,0,1.0
Pre-Season Bootcamp,All Gamers,Ilios,1,0,1,0.0
Pre-Season Bootcamp,Team Peps,Ilios,1,0,1,0.0
Pre-Season Bootcamp,Weibo Gaming,Ilios,1,0,1,0.0
Pre-Season Bootcamp,Crazy Raccoon,Lijiang Tower,1,1,0,1.0
Pre-Season Bootcamp,T1,Lijiang Tower,1,1,0,1.0
Pre-Season Bootcamp,Team Liquid,Lijiang Tower,2,2,0,1.0
Pre-Season Bootcamp,Team Falcons,Lijiang Tower,2,1,1,0.5
Pre-Season Bootcamp,Dallas Fuel,Lijiang Tower,1,0,1,0.0
Pre-Season Bootcamp,Twisted Minds,Lijiang Tower,1,0,1,0.0
Pre-Season Bootcamp,VARREL,Lijiang Tower,1,0,1,0.0
Pre-Season Bootcamp,Virtus.pro,Lijiang Tower,1,0,1,0.0
Pre-Season Bootcamp,T1,Midtown,1,1,0,1.0
Pre-Season Bootcamp,Weibo Gaming,Midtown,1,1,0,1.0
Pre-Season Bootcamp,Team Falcons,Midtown,2,1,1,0.5
Pre-Season Bootcamp,Dallas Fuel,Midtown,1,0,1,0.0
Pre-Season Bootcamp,Disguised,Midtown,1,0,0,0.0
Pre-Season Bootcamp,Team Peps,Midtown,1,0,0,0.0
Pre-Season Bootcamp,VARREL,Midtown,1,0,1,0.0
Pre-Season Bootcamp,Team Peps,New Junk City,1,1,0,1.0
Pre-Season Bootcamp,Twisted Minds,New Junk City,1,1,0,1.0
Pre-Season Bootcamp,Virtus.pro,New Junk City,1,1,0,1.0
Pre-Season Bootcamp,T1,New Junk City,2,1,1,0.5
Pre-Season Bootcamp,Dallas Fuel,New Junk City,1,0,1,0.0
Pre-Season Bootcamp,Disguised,New Junk City,1,0,1,0.0
Pre-Season Bootcamp,Team Liquid,New Junk City,1,0,1,0.0
Pre-Season Bootcamp,Crazy Raccoon,Shambali Monastery,2,2,0,1.0
Pre-Season Bootcamp,Disguised,Shambali Monastery,1,1,0,1.0
Pre-Season Bootcamp,Team Falcons,Shambali Monastery,2,2,0,1.0
Pre-Season Bootcamp,Virtus.pro,Shambali Monastery,1,1,0,1.0
Pre-Season Bootcamp,All Gamers,Shambali Monastery,1,0,1,0.0
Pre-Season Bootcamp,Team Peps,Shambali Monastery,2,0,2,0.0
Pre-Season Bootcamp,Twisted Minds,Shambali Monastery,1,0,1,0.0
Pre-Season Bootcamp,VARREL,Shambali Monastery,1,0,1,0.0
Pre-Season Bootcamp,Weibo Gaming,Shambali Monastery,1,0,1,0.0
Pre-Season Bootcamp,Team Falcons,Watchpoint: Gibraltar,1,1,0,1.0
Pre-Season Bootcamp,Team Peps,Watchpoint: Gibraltar,1,1,0,1.0
Pre-Season Bootcamp,Crazy Raccoon,Watchpoint: Gibraltar,1,0,1,0.0
Pre-Season Bootcamp,Disguised,Watchpoint: Gibraltar,1,0,1,0.0
