player_name,team_name,hero_name,usage_count
ICHI,99DIVINE,Winston,24
JAYA,Naive Piggy,Vendetta,24
Pineapple,JD Gaming,Emre,24
Ade,Al Qadsiah,Emre,24
Sugarfree,Spacestation Gaming,Tracer,24
Seicoe,Virtus.pro,Tracer,23
LeeSooMin,Weibo Gaming,Lúcio,23
JaeWoo,Twisted Minds,Tracer,23
orca,Nyam Gaming,Kiriko,23
SP1NT,RØDE ONSIDE GAMING,Symmetra,23
Recall,All Gamers,Juno,23
Littlemoon,SV,Emre,23
A1WAYS,SV,Lúcio,23
sara,Naive Piggy,Juno,23
PKFishy,FURY,Tracer,23
Hanbin,Team Falcons,D.Va,22
CARU,Poker Face,Kiriko,22
TenTen,Poker Face,Lúcio,22
CH0R0NG,Crazy Raccoon,Lúcio,22
shu,ZETA DIVISION,Ana,22
YangJun,ZAN Esports,Lúcio,22
ATTACK,RØDE ONSIDE GAMING,D.Va,22
Sugarfree,Spacestation Gaming,Symmetra,22
PGE,Disguised,Emre,21
Xerion,Team Peps,Kiriko,21
Seonjun,Dallas Fuel,Tracer,21
Lengsa,All Gamers,Jetpack Cat,21
Edison,ENTER FORCE.36,Tracer,21
Alphari,All Gamers,Tracer,21
wh4le,Naive Piggy,Emre,21
Kellan,Dallas Fuel,Winston,21
Dip,Team Peps,Vendetta,20
KSG,VARREL,D.Va,20
Proud,T1,Emre,20
Seicoe,Virtus.pro,Vendetta,20
Vega,Team Liquid,Lúcio,20
Sakume,Please Not Hero Ban,Kiriko,20
APDO,Nyam Gaming,Vendetta,20
epic,TOKYO TAIYOs,Lúcio,20
Alphari,All Gamers,Symmetra,20
SirMajed,Al Qadsiah,Kiriko,20
zzz,LuneX Gaming,Kiriko,20
Escanor,Team Liquid,Kiriko,20
Ch0r0ng,Crazy Raccoon,Lúcio,19
Vigilante,Crazy Raccoon,Ana,19
Gaisen,ENTER FORCE.36,Kiriko,19
Mihawk,TOKYO TAIYOs,Kiriko,19
KILO,RØDE ONSIDE GAMING,Sojourn,19
BABAYAGA,SV,Vendetta,19
Leave,Weibo Gaming,Tracer,19
AlphaYi,Geekay Esports,Tracer,19
NenWhy,LuneX Gaming,Lúcio,19
Scyle,Disguised,Kiriko,18
Lep,Disguised,Lúcio,18
Zorrow,Team Peps,Emre,18
Checkmate,Team Falcons,Vendetta,18
Proud,T1,Sojourn,18
homerunball,Please Not Hero Ban,D.Va,18
Edison,ENTER FORCE.36,Vendetta,18
ans,TOKYO TAIYOs,Cassidy,18
Daisy,Nyam Gaming,Emre,18
WoochaN,Cheeseburger,Kiriko,18
M1NUT2,Poker Face,Emre,18
knife,ZETA DIVISION,Emre,18
ATTACK,RØDE ONSIDE GAMING,Zarya,18
ZEST,T1,Vendetta,18
wh4le,Naive Piggy,Sojourn,18
Lateyoung,Naive Piggy,D.Va,18
prot3ct,SV,D.Va,18
JAYA,Naive Piggy,Tracer,18
Leave,Weibo Gaming,Symmetra,18
TOPDRAGON,VARREL,Tracer,17
JaeWoo,Twisted Minds,Vendetta,17
TVNT,Twisted Minds,Zarya,17
Ky0n,Please Not Hero Ban,Emre,17
NEIVIS,Please Not Hero Ban,Lúcio,17
ta1yo,TOKYO TAIYOs,Symmetra,17
Faith,Cheeseburger,Lúcio,17
sara,Naive Piggy,Kiriko,17
