tournament_sheet,match_id,match_title,team_top,team_bottom,hero_name,usage_count
EMEA - Stage 1,EMEA - Stage 1__match_0005,Round Robin [Bo5],Al Qadsiah,Team Peps,Vendetta,12
Non-Partner Team Index,Non-Partner Team Index__match_0004,,99DIVINE,99DIVINE,Tracer,12
Non-Partner Team Index,Non-Partner Team Index__match_0004,,99DIVINE,99DIVINE,Genji,12
Non-Partner Team Index,Non-Partner Team Index__match_0004,,99DIVINE,99DIVINE,Winston,12
Non-Partner Team Index,Non-Partner Team Index__match_0004,,99DIVINE,99DIVINE,Lúcio,12
Non-Partner Team Index,Non-Partner Team Index__match_0004,,99DIVINE,99DIVINE,Ana,12
Non-Partner Team Index,Non-Partner Team Index__match_0005,,FURY,FURY,Tracer,12
Non-Partner Team Index,Non-Partner Team Index__match_0005,,FURY,FURY,Genji,12
Non-Partner Team Index,Non-Partner Team Index__match_0005,,FURY,FURY,Winston,12
Non-Partner Team Index,Non-Partner Team Index__match_0005,,FURY,FURY,Lúcio,12
Non-Partner Team Index,Non-Partner Team Index__match_0005,,FURY,FURY,Ana,12
Japan - Stage 1,Japan - Stage 1__match_0011,Round Robin [Bo5],TOKYO TAIYOs,Please Not Hero Ban,Kiriko,11
EMEA - Stage 1,EMEA - Stage 1__match_0012,Round Robin [Bo5],Anyone's Legend,Team Peps,Tracer,11
Pacific - Stage 1,Pacific - Stage 1__match_0006,Round Robin [Bo5],Quasar Esports,Rankers,Cassidy,11
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0006,Quarterfinals [Bo5],Weibo Gaming,Team Falcons,Kiriko,10
Korea - Stage 1,Korea - Stage 1__match_0002,Round Robin [Bo5],Crazy Raccoon,ZETA DIVISION,Symmetra,10
Korea - Stage 1,Korea - Stage 1__match_0003,Round Robin [Bo5],ZAN Esports,RØDE ONSIDE GAMING,Sojourn,10
Korea - Stage 1,Korea - Stage 1__match_0003,Round Robin [Bo5],ZAN Esports,RØDE ONSIDE GAMING,Lúcio,10
Korea - Stage 1,Korea - Stage 1__match_0003,Round Robin [Bo5],ZAN Esports,RØDE ONSIDE GAMING,Kiriko,10
Korea - Stage 1,Korea - Stage 1__match_0008,Round Robin [Bo5],RØDE ONSIDE GAMING,T1,Kiriko,10
Korea - Stage 1,Korea - Stage 1__match_0012,Round Robin [Bo5],Crazy Raccoon,RØDE ONSIDE GAMING,Tracer,10
Korea - Stage 1,Korea - Stage 1__match_0021,Round Robin [Bo5],T1,Crazy Raccoon,Emre,10
Korea - Stage 1,Korea - Stage 1__match_0023,Round Robin [Bo5],ZETA DIVISION,RØDE ONSIDE GAMING,Tracer,10
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],Milk Tea,Homie E,Kiriko,10
China - Stage 1,China - Stage 1__match_0019,Round Robin [Bo5],All Gamers,Milk Tea,Symmetra,10
China - Stage 1,China - Stage 1__match_0022,Round Robin [Bo5],Weibo Gaming,All Gamers,Juno,10
China - Stage 1,China - Stage 1__match_0030,Round Robin [Bo5],Weibo Gaming,JD Gaming,Lúcio,10
EMEA - Stage 1,EMEA - Stage 1__match_0006,Round Robin [Bo5],Al Qadsiah,Geekay Esports,Zarya,10
EMEA - Stage 1,EMEA - Stage 1__match_0006,Round Robin [Bo5],Al Qadsiah,Geekay Esports,Kiriko,10
EMEA - Stage 1,EMEA - Stage 1__match_0015,Round Robin [Bo5],Anyone's Legend,Geekay Esports,Emre,10
EMEA - Stage 1,EMEA - Stage 1__match_0017,Upper Semifinals [Bo5],Virtus.pro,Geekay Esports,Tracer,10
EMEA - Stage 1,EMEA - Stage 1__match_0017,Upper Semifinals [Bo5],Virtus.pro,Geekay Esports,Emre,10
EMEA - Stage 1,EMEA - Stage 1__match_0021,Grand Finals [Bo7],Twisted Minds,Virtus.pro,Lúcio,10
EMEA - Stage 1,EMEA - Stage 1__match_0021,Grand Finals [Bo7],Twisted Minds,Virtus.pro,Kiriko,10
North America - Stage 1,North America - Stage 1__match_0003,Round Robin [Bo5],Team Liquid,Extinction,Kiriko,10
North America - Stage 1,North America - Stage 1__match_0004,Round Robin [Bo5],Spacestation Gaming,Disguised,Emre,10
North America - Stage 1,North America - Stage 1__match_0019,Upper Finals [Bo5],Dallas Fuel,Spacestation Gaming,Tracer,10
Pacific - Stage 1,Pacific - Stage 1__match_0012,Round Robin [Bo5],MieMieYang,Rankers,Illari,10
Non-Partner Team Index,Non-Partner Team Index__match_0003,,Cheeseburger,Cheeseburger,Tracer,10
Non-Partner Team Index,Non-Partner Team Index__match_0003,,Cheeseburger,Cheeseburger,Genji,10
Non-Partner Team Index,Non-Partner Team Index__match_0003,,Cheeseburger,Cheeseburger,Winston,10
Non-Partner Team Index,Non-Partner Team Index__match_0003,,Cheeseburger,Cheeseburger,Lúcio,10
Non-Partner Team Index,Non-Partner Team Index__match_0003,,Cheeseburger,Cheeseburger,Ana,10
Non-Partner Team Index,Non-Partner Team Index__match_0006,,DEG,DEG,Tracer,10
Non-Partner Team Index,Non-Partner Team Index__match_0006,,DEG,DEG,Genji,10
Non-Partner Team Index,Non-Partner Team Index__match_0006,,DEG,DEG,Winston,10
Non-Partner Team Index,Non-Partner Team Index__match_0006,,DEG,DEG,Lúcio,10
Non-Partner Team Index,Non-Partner Team Index__match_0006,,DEG,DEG,Ana,10
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0001,Round 1 [Bo5],Disguised,Team Peps,Sojourn,9
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0009,Semifinals [Bo5],Crazy Raccoon,Team Falcons,Kiriko,9
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0010,Semifinals [Bo5],Twisted Minds,Team Liquid,Kiriko,9
Japan - Stage 1,Japan - Stage 1__match_0008,Round Robin [Bo5],TOKYO TAIYOs,99DIVINE,Kiriko,9
Japan - Stage 1,Japan - Stage 1__match_0011,Round Robin [Bo5],TOKYO TAIYOs,Please Not Hero Ban,Lúcio,9
Korea - Stage 1,Korea - Stage 1__match_0008,Round Robin [Bo5],RØDE ONSIDE GAMING,T1,D.Va,9
Korea - Stage 1,Korea - Stage 1__match_0009,Round Robin [Bo5],ZETA DIVISION,Team Falcons,Symmetra,9
Korea - Stage 1,Korea - Stage 1__match_0012,Round Robin [Bo5],Crazy Raccoon,RØDE ONSIDE GAMING,Kiriko,9
Korea - Stage 1,Korea - Stage 1__match_0023,Round Robin [Bo5],ZETA DIVISION,RØDE ONSIDE GAMING,Kiriko,9
China - Stage 1,China - Stage 1__match_0016,Round Robin [Bo5],Naive Piggy,Milk Tea,Kiriko,9
China - Stage 1,China - Stage 1__match_0017,Round Robin [Bo5],JD Gaming,All Gamers,Lúcio,9
China - Stage 1,China - Stage 1__match_0035,Lower Finals [Bo5],All Gamers,JD Gaming,Kiriko,9
China - Stage 1,China - Stage 1__match_0036,Grand Finals [Bo5],Weibo Gaming,All Gamers,Jetpack Cat,9
EMEA - Stage 1,EMEA - Stage 1__match_0006,Round Robin [Bo5],Al Qadsiah,Geekay Esports,Juno,9
EMEA - Stage 1,EMEA - Stage 1__match_0012,Round Robin [Bo5],Anyone's Legend,Team Peps,Mauga,9
EMEA - Stage 1,EMEA - Stage 1__match_0015,Round Robin [Bo5],Anyone's Legend,Geekay Esports,Kiriko,9
EMEA - Stage 1,EMEA - Stage 1__match_0017,Upper Semifinals [Bo5],Virtus.pro,Geekay Esports,Zarya,9
North America - Stage 1,North America - Stage 1__match_0004,Round Robin [Bo5],Spacestation Gaming,Disguised,Symmetra,9
North America - Stage 1,North America - Stage 1__match_0019,Upper Finals [Bo5],Dallas Fuel,Spacestation Gaming,Kiriko,9
Pacific - Stage 1,Pacific - Stage 1__match_0003,Round Robin [Bo5],FURY,Quasar Esports,Kiriko,9
Pacific - Stage 1,Pacific - Stage 1__match_0006,Round Robin [Bo5],Quasar Esports,Rankers,Kiriko,9
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0001,Round 1 [Bo5],Disguised,Team Peps,Tracer,8
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0001,Round 1 [Bo5],Disguised,Team Peps,Domina,8
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0001,Round 1 [Bo5],Disguised,Team Peps,Kiriko,8
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0001,Round 1 [Bo5],Disguised,Team Peps,Lúcio,8
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0010,Semifinals [Bo5],Twisted Minds,Team Liquid,Sojourn,8
Japan - Stage 1,Japan - Stage 1__match_0001,Round Robin [Bo5],Please Not Hero Ban,Telomere,Kiriko,8
Japan - Stage 1,Japan - Stage 1__match_0006,Round Robin [Bo5],TOKYO TAIYOs,Nyam Gaming,Kiriko,8
Japan - Stage 1,Japan - Stage 1__match_0011,Round Robin [Bo5],TOKYO TAIYOs,Please Not Hero Ban,Symmetra,8
Japan - Stage 1,Japan - Stage 1__match_0019,Round Robin [Bo5],99DIVINE,Nyam Gaming,Emre,8
Japan - Stage 1,Japan - Stage 1__match_0019,Round Robin [Bo5],99DIVINE,Nyam Gaming,Tracer,8
Japan - Stage 1,Japan - Stage 1__match_0024,Round Robin [Bo5],99DIVINE,Telomere,Emre,8
Japan - Stage 1,Japan - Stage 1__match_0029,Semifinals [Bo7],ENTER FORCE.36,Please Not Hero Ban,Juno,8
Japan - Stage 1,Japan - Stage 1__match_0030,Semifinals [Bo7],VARREL,99DIVINE,Emre,8
Japan - Stage 1,Japan - Stage 1__match_0031,Third Place Match [Bo7],Please Not Hero Ban,99DIVINE,Kiriko,8
Japan - Stage 1,Japan - Stage 1__match_0032,Grand Finals [Bo7],VARREL,ENTER FORCE.36,Emre,8
Japan - Stage 1,Japan - Stage 1__match_0032,Grand Finals [Bo7],VARREL,ENTER FORCE.36,Tracer,8
Korea - Stage 1,Korea - Stage 1__match_0003,Round Robin [Bo5],ZAN Esports,RØDE ONSIDE GAMING,Vendetta,8
Korea - Stage 1,Korea - Stage 1__match_0003,Round Robin [Bo5],ZAN Esports,RØDE ONSIDE GAMING,D.Va,8
Korea - Stage 1,Korea - Stage 1__match_0006,Round Robin [Bo5],ZAN Esports,Crazy Raccoon,Lúcio,8
Korea - Stage 1,Korea - Stage 1__match_0006,Round Robin [Bo5],ZAN Esports,Crazy Raccoon,Kiriko,8
Korea - Stage 1,Korea - Stage 1__match_0008,Round Robin [Bo5],RØDE ONSIDE GAMING,T1,Vendetta,8
Korea - Stage 1,Korea - Stage 1__match_0008,Round Robin [Bo5],RØDE ONSIDE GAMING,T1,Lúcio,8
Korea - Stage 1,Korea - Stage 1__match_0009,Round Robin [Bo5],ZETA DIVISION,Team Falcons,D.Va,8
Korea - Stage 1,Korea - Stage 1__match_0009,Round Robin [Bo5],ZETA DIVISION,Team Falcons,Kiriko,8
Korea - Stage 1,Korea - Stage 1__match_0012,Round Robin [Bo5],Crazy Raccoon,RØDE ONSIDE GAMING,Vendetta,8
Korea - Stage 1,Korea - Stage 1__match_0012,Round Robin [Bo5],Crazy Raccoon,RØDE ONSIDE GAMING,Lúcio,8
Korea - Stage 1,Korea - Stage 1__match_0018,Round Robin [Bo5],Team Falcons,T1,Kiriko,8
Korea - Stage 1,Korea - Stage 1__match_0018,Round Robin [Bo5],Team Falcons,T1,Lúcio,8
Korea - Stage 1,Korea - Stage 1__match_0021,Round Robin [Bo5],T1,Crazy Raccoon,Vendetta,8
Korea - Stage 1,Korea - Stage 1__match_0029,Round Robin [Bo5],T1,ZETA DIVISION,Tracer,8
Korea - Stage 1,Korea - Stage 1__match_0035,Round Robin [Bo5],RØDE ONSIDE GAMING,Team Falcons,Emre,8
Korea - Stage 1,Korea - Stage 1__match_0040,Last Chance Qualifier [Bo5],Poker Face,Cheeseburger,Bastion,8
Korea - Stage 1,Korea - Stage 1__match_0040,Last Chance Qualifier [Bo5],Poker Face,Cheeseburger,Jetpack Cat,8
China - Stage 1,China - Stage 1__match_0004,Swiss Stage (Round 1) [Bo5],JD Gaming,SV,Vendetta,8
China - Stage 1,China - Stage 1__match_0004,Swiss Stage (Round 1) [Bo5],JD Gaming,SV,D.Va,8
China - Stage 1,China - Stage 1__match_0013,Swiss Stage (Round 4) [Bo5],Naive Piggy,DEG,Tracer,8
China - Stage 1,China - Stage 1__match_0016,Round Robin [Bo5],Naive Piggy,Milk Tea,Tracer,8
China - Stage 1,China - Stage 1__match_0017,Round Robin [Bo5],JD Gaming,All Gamers,Emre,8
China - Stage 1,China - Stage 1__match_0017,Round Robin [Bo5],JD Gaming,All Gamers,Kiriko,8
China - Stage 1,China - Stage 1__match_0019,Round Robin [Bo5],All Gamers,Milk Tea,Lúcio,8
China - Stage 1,China - Stage 1__match_0022,Round Robin [Bo5],Weibo Gaming,All Gamers,Brigitte,8
China - Stage 1,China - Stage 1__match_0026,Round Robin [Bo5],All Gamers,Naive Piggy,Emre,8
China - Stage 1,China - Stage 1__match_0026,Round Robin [Bo5],All Gamers,Naive Piggy,Kiriko,8
China - Stage 1,China - Stage 1__match_0033,Upper Finals [Bo5],Weibo Gaming,All Gamers,Kiriko,8
China - Stage 1,China - Stage 1__match_0035,Lower Finals [Bo5],All Gamers,JD Gaming,Tracer,8
China - Stage 1,China - Stage 1__match_0036,Grand Finals [Bo5],Weibo Gaming,All Gamers,Bastion,8
China - Stage 1,China - Stage 1__match_0036,Grand Finals [Bo5],Weibo Gaming,All Gamers,Kiriko,8
EMEA - Stage 1,EMEA - Stage 1__match_0001,Round Robin [Bo5],Virtus.pro,Al Qadsiah,Emre,8
EMEA - Stage 1,EMEA - Stage 1__match_0005,Round Robin [Bo5],Al Qadsiah,Team Peps,Emre,8
EMEA - Stage 1,EMEA - Stage 1__match_0005,Round Robin [Bo5],Al Qadsiah,Team Peps,D.Va,8
EMEA - Stage 1,EMEA - Stage 1__match_0005,Round Robin [Bo5],Al Qadsiah,Team Peps,Kiriko,8
EMEA - Stage 1,EMEA - Stage 1__match_0006,Round Robin [Bo5],Al Qadsiah,Geekay Esports,Emre,8
EMEA - Stage 1,EMEA - Stage 1__match_0006,Round Robin [Bo5],Al Qadsiah,Geekay Esports,Vendetta,8
EMEA - Stage 1,EMEA - Stage 1__match_0006,Round Robin [Bo5],Al Qadsiah,Geekay Esports,Lúcio,8
EMEA - Stage 1,EMEA - Stage 1__match_0020,Lower Finals [Bo5],Geekay Esports,Virtus.pro,Emre,8
EMEA - Stage 1,EMEA - Stage 1__match_0020,Lower Finals [Bo5],Geekay Esports,Virtus.pro,Zarya,8
EMEA - Stage 1,EMEA - Stage 1__match_0020,Lower Finals [Bo5],Geekay Esports,Virtus.pro,Kiriko,8
EMEA - Stage 1,EMEA - Stage 1__match_0020,Lower Finals [Bo5],Geekay Esports,Virtus.pro,Lúcio,8
EMEA - Stage 1,EMEA - Stage 1__match_0021,Grand Finals [Bo7],Twisted Minds,Virtus.pro,Emre,8
EMEA - Stage 1,EMEA - Stage 1__match_0021,Grand Finals [Bo7],Twisted Minds,Virtus.pro,Vendetta,8
EMEA - Stage 1,EMEA - Stage 1__match_0021,Grand Finals [Bo7],Twisted Minds,Virtus.pro,Zarya,8
North America - Stage 1,North America - Stage 1__match_0004,Round Robin [Bo5],Spacestation Gaming,Disguised,Lúcio,8
North America - Stage 1,North America - Stage 1__match_0004,Round Robin [Bo5],Spacestation Gaming,Disguised,Kiriko,8
North America - Stage 1,North America - Stage 1__match_0010,Round Robin [Bo5],Disguised,Team Liquid,Emre,8
North America - Stage 1,North America - Stage 1__match_0012,Round Robin [Bo5],Team Liquid,LuneX Gaming,Tracer,8
North America - Stage 1,North America - Stage 1__match_0017,Upper Semifinals [Bo5],Spacestation Gaming,Team Liquid,Tracer,8
North America - Stage 1,North America - Stage 1__match_0019,Upper Finals [Bo5],Dallas Fuel,Spacestation Gaming,Juno,8
North America - Stage 1,North America - Stage 1__match_0021,Grand Finals [Bo7],Dallas Fuel,Spacestation Gaming,Kiriko,8
Pacific - Stage 1,Pacific - Stage 1__match_0009,Round Robin [Bo5],MieMieYang,Quasar Esports,Tracer,8
Pacific - Stage 1,Pacific - Stage 1__match_0012,Round Robin [Bo5],MieMieYang,Rankers,Kiriko,8
Partner Team Index,Partner Team Index__match_0001,,Dallas Fuel,Dallas Fuel,Tracer,8
Partner Team Index,Partner Team Index__match_0001,,Dallas Fuel,Dallas Fuel,Genji,8
Partner Team Index,Partner Team Index__match_0001,,Dallas Fuel,Dallas Fuel,Winston,8
Partner Team Index,Partner Team Index__match_0001,,Dallas Fuel,Dallas Fuel,Lúcio,8
Partner Team Index,Partner Team Index__match_0001,,Dallas Fuel,Dallas Fuel,Ana,8
Partner Team Index,Partner Team Index__match_0003,,Crazy Raccoon,Crazy Raccoon,Tracer,8
Partner Team Index,Partner Team Index__match_0003,,Crazy Raccoon,Crazy Raccoon,Genji,8
Partner Team Index,Partner Team Index__match_0003,,Crazy Raccoon,Crazy Raccoon,Winston,8
Partner Team Index,Partner Team Index__match_0003,,Crazy Raccoon,Crazy Raccoon,Lúcio,8
Partner Team Index,Partner Team Index__match_0003,,Crazy Raccoon,Crazy Raccoon,Ana,8
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0003,Round 1 [Bo5],Dallas Fuel,T1,Domina,7
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0006,Quarterfinals [Bo5],Weibo Gaming,Team Falcons,Sojourn,7
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0006,Quarterfinals [Bo5],Weibo Gaming,Team Falcons,Lúcio,7
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0008,Quarterfinals [Bo5],Team Liquid,Virtus.pro,Domina,7
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0009,Semifinals [Bo5],Crazy Raccoon,Team Falcons,Sojourn,7
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0011,Grand Finals [Bo7],Crazy Raccoon,Twisted Minds,Tracer,7
Japan - Stage 1,Japan - Stage 1__match_0008,Round Robin [Bo5],TOKYO TAIYOs,99DIVINE,Tracer,7
Japan - Stage 1,Japan - Stage 1__match_0009,Round Robin [Bo5],VARREL,ENTER FORCE.36,Emre,7
Japan - Stage 1,Japan - Stage 1__match_0009,Round Robin [Bo5],VARREL,ENTER FORCE.36,Kiriko,7
Japan - Stage 1,Japan - Stage 1__match_0012,Round Robin [Bo5],99DIVINE,ENTER FORCE.36,Tracer,7
Japan - Stage 1,Japan - Stage 1__match_0018,Round Robin [Bo5],ENTER FORCE.36,TOKYO TAIYOs,Symmetra,7
Japan - Stage 1,Japan - Stage 1__match_0018,Round Robin [Bo5],ENTER FORCE.36,TOKYO TAIYOs,Lúcio,7
Japan - Stage 1,Japan - Stage 1__match_0018,Round Robin [Bo5],ENTER FORCE.36,TOKYO TAIYOs,Kiriko,7
Japan - Stage 1,Japan - Stage 1__match_0023,Round Robin [Bo5],Lazuli,TOKYO TAIYOs,Symmetra,7
Japan - Stage 1,Japan - Stage 1__match_0026,Round Robin [Bo5],Lazuli,Nyam Gaming,Vendetta,7
Japan - Stage 1,Japan - Stage 1__match_0026,Round Robin [Bo5],Lazuli,Nyam Gaming,Tracer,7
Japan - Stage 1,Japan - Stage 1__match_0030,Semifinals [Bo7],VARREL,99DIVINE,Ana,7
Japan - Stage 1,Japan - Stage 1__match_0032,Grand Finals [Bo7],VARREL,ENTER FORCE.36,D.Va,7
Japan - Stage 1,Japan - Stage 1__match_0032,Grand Finals [Bo7],VARREL,ENTER FORCE.36,Ana,7
Korea - Stage 1,Korea - Stage 1__match_0001,Round Robin [Bo5],Cheeseburger,Poker Face,Vendetta,7
Korea - Stage 1,Korea - Stage 1__match_0002,Round Robin [Bo5],Crazy Raccoon,ZETA DIVISION,Sojourn,7
Korea - Stage 1,Korea - Stage 1__match_0002,Round Robin [Bo5],Crazy Raccoon,ZETA DIVISION,Lúcio,7
Korea - Stage 1,Korea - Stage 1__match_0009,Round Robin [Bo5],ZETA DIVISION,Team Falcons,Vendetta,7
Korea - Stage 1,Korea - Stage 1__match_0009,Round Robin [Bo5],ZETA DIVISION,Team Falcons,Lúcio,7
Korea - Stage 1,Korea - Stage 1__match_0018,Round Robin [Bo5],Team Falcons,T1,Zarya,7
Korea - Stage 1,Korea - Stage 1__match_0020,Round Robin [Bo5],Team Falcons,Poker Face,Lúcio,7
Korea - Stage 1,Korea - Stage 1__match_0021,Round Robin [Bo5],T1,Crazy Raccoon,Symmetra,7
Korea - Stage 1,Korea - Stage 1__match_0021,Round Robin [Bo5],T1,Crazy Raccoon,Lúcio,7
Korea - Stage 1,Korea - Stage 1__match_0021,Round Robin [Bo5],T1,Crazy Raccoon,Jetpack Cat,7
Korea - Stage 1,Korea - Stage 1__match_0023,Round Robin [Bo5],ZETA DIVISION,RØDE ONSIDE GAMING,Emre,7
Korea - Stage 1,Korea - Stage 1__match_0023,Round Robin [Bo5],ZETA DIVISION,RØDE ONSIDE GAMING,Lúcio,7
Korea - Stage 1,Korea - Stage 1__match_0029,Round Robin [Bo5],T1,ZETA DIVISION,Symmetra,7
Korea - Stage 1,Korea - Stage 1__match_0035,Round Robin [Bo5],RØDE ONSIDE GAMING,Team Falcons,Lúcio,7
Korea - Stage 1,Korea - Stage 1__match_0035,Round Robin [Bo5],RØDE ONSIDE GAMING,Team Falcons,Kiriko,7
Korea - Stage 1,Korea - Stage 1__match_0040,Last Chance Qualifier [Bo5],Poker Face,Cheeseburger,Ana,7
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],Milk Tea,Homie E,Vendetta,7
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],Milk Tea,Homie E,Sojourn,7
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],Milk Tea,Homie E,Zarya,7
China - Stage 1,China - Stage 1__match_0013,Swiss Stage (Round 4) [Bo5],Naive Piggy,DEG,Brigitte,7
China - Stage 1,China - Stage 1__match_0015,Seeding Decider [Bo5],Milk Tea,Naive Piggy,Juno,7
China - Stage 1,China - Stage 1__match_0017,Round Robin [Bo5],JD Gaming,All Gamers,Vendetta,7
China - Stage 1,China - Stage 1__match_0017,Round Robin [Bo5],JD Gaming,All Gamers,Tracer,7
China - Stage 1,China - Stage 1__match_0019,Round Robin [Bo5],All Gamers,Milk Tea,Kiriko,7
China - Stage 1,China - Stage 1__match_0022,Round Robin [Bo5],Weibo Gaming,All Gamers,Tracer,7
China - Stage 1,China - Stage 1__match_0022,Round Robin [Bo5],Weibo Gaming,All Gamers,Emre,7
China - Stage 1,China - Stage 1__match_0022,Round Robin [Bo5],Weibo Gaming,All Gamers,Mauga,7
China - Stage 1,China - Stage 1__match_0023,Round Robin [Bo5],JD Gaming,Milk Tea,Kiriko,7
China - Stage 1,China - Stage 1__match_0024,Round Robin [Bo5],SV,Milk Tea,Lúcio,7
China - Stage 1,China - Stage 1__match_0026,Round Robin [Bo5],All Gamers,Naive Piggy,Tracer,7
China - Stage 1,China - Stage 1__match_0030,Round Robin [Bo5],Weibo Gaming,JD Gaming,Emre,7
China - Stage 1,China - Stage 1__match_0032,Upper Semifinals [Bo5],All Gamers,JD Gaming,Tracer,7
China - Stage 1,China - Stage 1__match_0033,Upper Finals [Bo5],Weibo Gaming,All Gamers,Bastion,7
EMEA - Stage 1,EMEA - Stage 1__match_0001,Round Robin [Bo5],Virtus.pro,Al Qadsiah,Tracer,7
EMEA - Stage 1,EMEA - Stage 1__match_0001,Round Robin [Bo5],Virtus.pro,Al Qadsiah,Kiriko,7
EMEA - Stage 1,EMEA - Stage 1__match_0005,Round Robin [Bo5],Al Qadsiah,Team Peps,Lúcio,7
EMEA - Stage 1,EMEA - Stage 1__match_0005,Round Robin [Bo5],Al Qadsiah,Team Peps,Juno,7
EMEA - Stage 1,EMEA - Stage 1__match_0012,Round Robin [Bo5],Anyone's Legend,Team Peps,Sojourn,7
EMEA - Stage 1,EMEA - Stage 1__match_0013,Round Robin [Bo5],Virtus.pro,Geekay Esports,Vendetta,7
EMEA - Stage 1,EMEA - Stage 1__match_0013,Round Robin [Bo5],Virtus.pro,Geekay Esports,Zarya,7
EMEA - Stage 1,EMEA - Stage 1__match_0014,Round Robin [Bo5],Virtus.pro,Twisted Minds,Juno,7
EMEA - Stage 1,EMEA - Stage 1__match_0015,Round Robin [Bo5],Anyone's Legend,Geekay Esports,Lúcio,7
EMEA - Stage 1,EMEA - Stage 1__match_0017,Upper Semifinals [Bo5],Virtus.pro,Geekay Esports,Kiriko,7
EMEA - Stage 1,EMEA - Stage 1__match_0017,Upper Semifinals [Bo5],Virtus.pro,Geekay Esports,Lúcio,7
North America - Stage 1,North America - Stage 1__match_0001,Round Robin [Bo5],Dallas Fuel,Disguised,Symmetra,7
North America - Stage 1,North America - Stage 1__match_0002,Round Robin [Bo5],Spacestation Gaming,LuneX Gaming,Kiriko,7
North America - Stage 1,North America - Stage 1__match_0003,Round Robin [Bo5],Team Liquid,Extinction,Sojourn,7
North America - Stage 1,North America - Stage 1__match_0003,Round Robin [Bo5],Team Liquid,Extinction,Tracer,7
North America - Stage 1,North America - Stage 1__match_0003,Round Robin [Bo5],Team Liquid,Extinction,Lúcio,7
North America - Stage 1,North America - Stage 1__match_0004,Round Robin [Bo5],Spacestation Gaming,Disguised,D.Va,7
North America - Stage 1,North America - Stage 1__match_0007,Round Robin [Bo5],Disguised,Extinction,Tracer,7
North America - Stage 1,North America - Stage 1__match_0007,Round Robin [Bo5],Disguised,Extinction,Juno,7
North America - Stage 1,North America - Stage 1__match_0008,Round Robin [Bo5],Dallas Fuel,LuneX Gaming,Sojourn,7
North America - Stage 1,North America - Stage 1__match_0008,Round Robin [Bo5],Dallas Fuel,LuneX Gaming,Tracer,7
North America - Stage 1,North America - Stage 1__match_0008,Round Robin [Bo5],Dallas Fuel,LuneX Gaming,Kiriko,7
North America - Stage 1,North America - Stage 1__match_0010,Round Robin [Bo5],Disguised,Team Liquid,Vendetta,7
North America - Stage 1,North America - Stage 1__match_0010,Round Robin [Bo5],Disguised,Team Liquid,Kiriko,7
North America - Stage 1,North America - Stage 1__match_0011,Round Robin [Bo5],Spacestation Gaming,Dallas Fuel,Tracer,7
North America - Stage 1,North America - Stage 1__match_0012,Round Robin [Bo5],Team Liquid,LuneX Gaming,Kiriko,7
North America - Stage 1,North America - Stage 1__match_0015,Round Robin [Bo5],Spacestation Gaming,Team Liquid,Emre,7
North America - Stage 1,North America - Stage 1__match_0016,Upper Semifinals [Bo5],Dallas Fuel,LuneX Gaming,Kiriko,7
North America - Stage 1,North America - Stage 1__match_0017,Upper Semifinals [Bo5],Spacestation Gaming,Team Liquid,Emre,7
North America - Stage 1,North America - Stage 1__match_0017,Upper Semifinals [Bo5],Spacestation Gaming,Team Liquid,Orisa,7
North America - Stage 1,North America - Stage 1__match_0017,Upper Semifinals [Bo5],Spacestation Gaming,Team Liquid,Kiriko,7
North America - Stage 1,North America - Stage 1__match_0021,Grand Finals [Bo7],Dallas Fuel,Spacestation Gaming,Emre,7
North America - Stage 1,North America - Stage 1__match_0021,Grand Finals [Bo7],Dallas Fuel,Spacestation Gaming,Lúcio,7
Pacific - Stage 1,Pacific - Stage 1__match_0003,Round Robin [Bo5],FURY,Quasar Esports,Tracer,7
Pacific - Stage 1,Pacific - Stage 1__match_0003,Round Robin [Bo5],FURY,Quasar Esports,Sojourn,7
Pacific - Stage 1,Pacific - Stage 1__match_0003,Round Robin [Bo5],FURY,Quasar Esports,D.Va,7
Pacific - Stage 1,Pacific - Stage 1__match_0003,Round Robin [Bo5],FURY,Quasar Esports,Lúcio,7
Pacific - Stage 1,Pacific - Stage 1__match_0006,Round Robin [Bo5],Quasar Esports,Rankers,D.Va,7
