tournament_sheet,match_id,match_title,map_set_index,map_name,team_top,team_bottom,winning_team,losing_team,detected_win_text,source_cell
Non-Partner Team Index,Non-Partner Team Index__match_0003,,4,Lijiang Tower,Cheeseburger,Cheeseburger,ZAN Esports,,ZAN Esports Wins!,CN68
Non-Partner Team Index,Non-Partner Team Index__match_0004,,0,Lijiang Tower,99DIVINE,99DIVINE,99DIVINE,99DIVINE,99DIVINE Wins!,X94
Non-Partner Team Index,Non-Partner Team Index__match_0004,,1,Lijiang Tower,99DIVINE,99DIVINE,ENTER FORCE.36,,ENTER FORCE.36 Wins!,AO94
Non-Partner Team Index,Non-Partner Team Index__match_0004,,2,Lijiang Tower,99DIVINE,99DIVINE,Lazuli,,Lazuli Wins!,BF94
Non-Partner Team Index,Non-Partner Team Index__match_0004,,3,Lijiang Tower,99DIVINE,99DIVINE,Nyam Gaming,,Nyam Gaming Wins!,BW94
Non-Partner Team Index,Non-Partner Team Index__match_0004,,4,Lijiang Tower,99DIVINE,99DIVINE,Please Not Hero Ban,,Please Not Hero Ban Wins!,CN94
Non-Partner Team Index,Non-Partner Team Index__match_0004,,5,Lijiang Tower,99DIVINE,99DIVINE,Telomere,,Telomere Wins!,DE94
Non-Partner Team Index,Non-Partner Team Index__match_0005,,0,Lijiang Tower,FURY,FURY,FURY,FURY,FURY Wins!,X120
Non-Partner Team Index,Non-Partner Team Index__match_0005,,1,Lijiang Tower,FURY,FURY,MMY,,MMY Wins!,AO120
Non-Partner Team Index,Non-Partner Team Index__match_0005,,2,Lijiang Tower,FURY,FURY,Rankers,,Rankers Wins!,BF120
Non-Partner Team Index,Non-Partner Team Index__match_0005,,3,Lijiang Tower,FURY,FURY,Team Secret,,Team Secret Wins!,BW120
Non-Partner Team Index,Non-Partner Team Index__match_0005,,4,Lijiang Tower,FURY,FURY,The Gatos Guapos,,The Gatos Guapos Wins!,CN120
Non-Partner Team Index,Non-Partner Team Index__match_0005,,5,Lijiang Tower,FURY,FURY,Quasar Esports,,Quasar Esports Wins!,DE120
Non-Partner Team Index,Non-Partner Team Index__match_0006,,0,Lijiang Tower,DEG,DEG,DEG,DEG,DEG Wins!,X146
Non-Partner Team Index,Non-Partner Team Index__match_0006,,1,Lijiang Tower,DEG,DEG,Homie E,,Homie E Wins!,AO146
Non-Partner Team Index,Non-Partner Team Index__match_0006,,2,Lijiang Tower,DEG,DEG,Milk Tea,,Milk Tea Wins!,BF146
Non-Partner Team Index,Non-Partner Team Index__match_0006,,3,Lijiang Tower,DEG,DEG,Naive Piggy,,Naive Piggy Wins!,BW146
Non-Partner Team Index,Non-Partner Team Index__match_0006,,4,Lijiang Tower,DEG,DEG,Solus Victorem,,Solus Victorem Wins!,CN146
