tournament_sheet,match_format,hero_name,usage_count
EMEA - Stage 1,Upper Finals,Sojourn,1
EMEA - Stage 1,Upper Finals,Symmetra,1
EMEA - Stage 1,Lower Finals,D.Va,1
EMEA - Stage 1,Lower Finals,Juno,1
EMEA - Stage 1,Lower Finals,Bastion,1
EMEA - Stage 1,Lower Finals,Cassidy,1
EMEA - Stage 1,Lower Finals,Wrecking Ball,1
EMEA - Stage 1,Lower Finals,Ana,1
EMEA - Stage 1,Lower Finals,Brigitte,1
EMEA - Stage 1,Grand Finals,Sojourn,1
EMEA - Stage 1,Grand Finals,Wrecking Ball,1
EMEA - Stage 1,Grand Finals,Ana,1
EMEA - Stage 1,Grand Finals,Symmetra,1
EMEA - Stage 1,Grand Finals,Baptiste,1
North America - Stage 1,Round Robin,Soldier: 76,1
North America - Stage 1,Round Robin,Bastion,1
North America - Stage 1,Round Robin,Torbjörn,1
North America - Stage 1,Round Robin,Junkrat,1
North America - Stage 1,Round Robin,Anran,1
North America - Stage 1,Round Robin,Roadhog,1
North America - Stage 1,Upper Semifinals,Pharah,1
North America - Stage 1,Upper Semifinals,Ashe,1
North America - Stage 1,Upper Semifinals,Winston,1
North America - Stage 1,Upper Semifinals,Ana,1
North America - Stage 1,Upper Semifinals,Reaper,1
North America - Stage 1,Upper Semifinals,Doomfist,1
North America - Stage 1,Upper Semifinals,Zenyatta,1
North America - Stage 1,Upper Semifinals,Venture,1
North America - Stage 1,Upper Semifinals,Bastion,1
North America - Stage 1,Upper Semifinals,Mauga,1
North America - Stage 1,Upper Semifinals,Reinhardt,1
North America - Stage 1,Upper Semifinals,Illari,1
North America - Stage 1,Lower Semifinals,Freja,1
North America - Stage 1,Lower Semifinals,Lúcio,1
North America - Stage 1,Lower Semifinals,Widowmaker,1
North America - Stage 1,Lower Semifinals,Cassidy,1
North America - Stage 1,Lower Semifinals,Venture,1
North America - Stage 1,Lower Semifinals,Genji,1
North America - Stage 1,Lower Semifinals,Domina,1
North America - Stage 1,Lower Semifinals,Wrecking Ball,1
North America - Stage 1,Lower Semifinals,Illari,1
North America - Stage 1,Upper Finals,Echo,1
North America - Stage 1,Upper Finals,Mei,1
North America - Stage 1,Upper Finals,Vendetta,1
North America - Stage 1,Upper Finals,Reinhardt,1
North America - Stage 1,Upper Finals,Hanzo,1
North America - Stage 1,Upper Finals,Orisa,1
North America - Stage 1,Upper Finals,Hazard,1
North America - Stage 1,Grand Finals,Hanzo,1
North America - Stage 1,Grand Finals,Wrecking Ball,1
North America - Stage 1,Grand Finals,Sigma,1
North America - Stage 1,Grand Finals,Wuyang,1
North America - Stage 1,Grand Finals,Doomfist,1
North America - Stage 1,Grand Finals,Mauga,1
North America - Stage 1,Grand Finals,Baptiste,1
Pacific - Stage 1,Round Robin,Moira,1
Pacific - Stage 1,Round Robin,Roadhog,1
Pacific - Stage 1,Round Robin,Sierra,1
Pacific - Stage 1,Round Robin,Sigma,1
