scope_type,scope_name,role,hero_name,map_sets_played,map_set_wins,map_set_losses,win_rate,non_mirror_map_sets_played,non_mirror_wins,non_mirror_losses,non_mirror_win_rate
team,Homie E,Support,Brigitte,1,0,1,0.0,0,0,0,0.0
team,Homie E,Tank,Zarya,9,3,6,0.3333,2,1,1,0.5
team,Homie E,Tank,Hazard,5,1,4,0.2,4,0,4,0.0
team,Homie E,Tank,Orisa,3,0,3,0.0,3,0,3,0.0
team,Homie E,Tank,Ramattra,1,0,1,0.0,1,0,1,0.0
team,Homie E,Tank,Sigma,1,0,1,0.0,0,0,0,0.0
team,Homie E,Tank,Doomfist,1,0,1,0.0,1,0,1,0.0
team,Homie E,Tank,D.Va,1,0,1,0.0,0,0,0,0.0
team,JD Gaming,DPS,Tracer,30,17,13,0.5667,6,3,3,0.5
team,JD Gaming,DPS,Emre,24,15,9,0.625,5,4,1,0.8
team,JD Gaming,DPS,Symmetra,19,11,8,0.5789,3,3,0,1.0
team,JD Gaming,DPS,Sojourn,15,8,7,0.5333,7,2,5,0.2857
team,JD Gaming,DPS,Vendetta,11,5,6,0.4545,2,1,1,0.5
team,JD Gaming,DPS,Bastion,10,4,6,0.4,5,3,2,0.6
team,JD Gaming,DPS,Widowmaker,6,5,1,0.8333,2,2,0,1.0
team,JD Gaming,DPS,Pharah,5,1,4,0.2,4,1,3,0.25
team,JD Gaming,DPS,Reaper,5,1,4,0.2,4,1,3,0.25
team,JD Gaming,DPS,Cassidy,4,2,2,0.5,2,1,1,0.5
team,JD Gaming,DPS,Hanzo,3,2,1,0.6667,2,1,1,0.5
team,JD Gaming,DPS,Venture,3,3,0,1.0,2,2,0,1.0
team,JD Gaming,DPS,Mei,3,2,1,0.6667,1,0,1,0.0
team,JD Gaming,DPS,Genji,3,0,3,0.0,3,0,3,0.0
team,JD Gaming,DPS,Echo,2,1,1,0.5,2,1,1,0.5
team,JD Gaming,DPS,Freja,2,1,1,0.5,2,1,1,0.5
team,JD Gaming,DPS,Anran,1,0,1,0.0,1,0,1,0.0
team,JD Gaming,Support,Kiriko,31,18,13,0.5806,1,1,0,1.0
team,JD Gaming,Support,Lúcio,27,15,12,0.5556,3,1,2,0.3333
team,JD Gaming,Support,Ana,12,6,6,0.5,4,2,2,0.5
team,JD Gaming,Support,Brigitte,9,5,4,0.5556,4,3,1,0.75
team,JD Gaming,Support,Jetpack Cat,9,5,4,0.5556,4,4,0,1.0
team,JD Gaming,Support,Wuyang,8,4,4,0.5,5,1,4,0.2
team,JD Gaming,Support,Juno,6,3,3,0.5,4,2,2,0.5
team,JD Gaming,Support,Zenyatta,2,1,1,0.5,2,1,1,0.5
team,JD Gaming,Support,Baptiste,2,1,1,0.5,1,0,1,0.0
team,JD Gaming,Support,Illari,1,1,0,1.0,0,0,0,0.0
team,JD Gaming,Support,Mercy,1,1,0,1.0,1,1,0,1.0
team,JD Gaming,Support,Mizuki,1,0,1,0.0,1,0,1,0.0
team,JD Gaming,Tank,D.Va,16,8,8,0.5,1,0,1,0.0
team,JD Gaming,Tank,Wrecking Ball,12,8,4,0.6667,11,7,4,0.6364
team,JD Gaming,Tank,Hazard,12,8,4,0.6667,9,5,4,0.5556
team,JD Gaming,Tank,Winston,11,5,6,0.4545,9,5,4,0.5556
team,JD Gaming,Tank,Doomfist,8,2,6,0.25,7,2,5,0.2857
team,JD Gaming,Tank,Ramattra,8,3,5,0.375,8,3,5,0.375
team,JD Gaming,Tank,Orisa,5,3,2,0.6,3,2,1,0.6667
team,JD Gaming,Tank,Sigma,3,1,2,0.3333,2,0,2,0.0
team,JD Gaming,Tank,Reinhardt,2,2,0,1.0,2,2,0,1.0
team,JD Gaming,Tank,Junker Queen,1,1,0,1.0,1,1,0,1.0
team,Lazuli,DPS,Sojourn,15,5,10,0.3333,12,2,10,0.1667
team,Lazuli,DPS,Symmetra,13,4,9,0.3077,3,0,3,0.0
team,Lazuli,DPS,Tracer,12,2,10,0.1667,5,0,5,0.0
team,Lazuli,DPS,Vendetta,12,5,7,0.4167,6,1,5,0.1667
team,Lazuli,DPS,Emre,10,2,8,0.2,5,1,4,0.2
team,Lazuli,DPS,Cassidy,10,2,8,0.2,4,1,3,0.25
team,Lazuli,DPS,Widowmaker,6,1,5,0.1667,2,0,2,0.0
team,Lazuli,DPS,Freja,3,0,3,0.0,3,0,3,0.0
team,Lazuli,DPS,Hanzo,2,0,2,0.0,2,0,2,0.0
team,Lazuli,DPS,Sombra,1,0,1,0.0,1,0,1,0.0
team,Lazuli,DPS,Genji,1,1,0,1.0,1,1,0,1.0
team,Lazuli,Support,Brigitte,16,6,10,0.375,13,5,8,0.3846
team,Lazuli,Support,Juno,16,6,10,0.375,9,3,6,0.3333
team,Lazuli,Support,Kiriko,11,1,10,0.0909,3,0,3,0.0
team,Lazuli,Support,Lúcio,6,0,6,0.0,4,0,4,0.0
team,Lazuli,Support,Baptiste,5,1,4,0.2,3,1,2,0.3333
team,Lazuli,Support,Ana,4,1,3,0.25,2,1,1,0.5
team,Lazuli,Support,Wuyang,4,1,3,0.25,2,1,1,0.5
team,Lazuli,Support,Jetpack Cat,3,1,2,0.3333,2,1,1,0.5
team,Lazuli,Support,Mizuki,2,0,2,0.0,2,0,2,0.0
team,Lazuli,Support,Moira,2,0,2,0.0,2,0,2,0.0
team,Lazuli,Support,Lifeweaver,1,0,1,0.0,1,0,1,0.0
team,Lazuli,Support,Illari,1,0,1,0.0,0,0,0,0.0
team,Lazuli,Support,Mercy,1,0,1,0.0,1,0,1,0.0
team,Lazuli,Tank,Ramattra,15,6,9,0.4,12,4,8,0.3333
team,Lazuli,Tank,Orisa,9,1,8,0.1111,2,1,1,0.5
team,Lazuli,Tank,Doomfist,5,0,5,0.0,5,0,5,0.0
team,Lazuli,Tank,Winston,3,1,2,0.3333,2,1,1,0.5
team,Lazuli,Tank,Reinhardt,3,0,3,0.0,3,0,3,0.0
team,Lazuli,Tank,Roadhog,1,0,1,0.0,1,0,1,0.0
team,Lazuli,Tank,Wrecking Ball,1,0,1,0.0,0,0,0,0.0
team,Lazuli,Tank,Sigma,1,0,1,0.0,0,0,0,0.0
team,Lazuli,Tank,Hazard,1,0,1,0.0,0,0,0,0.0
team,LuneX Gaming,DPS,Tracer,17,4,13,0.2353,5,1,4,0.2
team,LuneX Gaming,DPS,Sojourn,12,5,7,0.4167,5,2,3,0.4
team,LuneX Gaming,DPS,Emre,11,3,8,0.2727,2,0,2,0.0
team,LuneX Gaming,DPS,Vendetta,10,5,5,0.5,8,3,5,0.375
team,LuneX Gaming,DPS,Symmetra,10,3,7,0.3,2,1,1,0.5
team,LuneX Gaming,DPS,Reaper,5,2,3,0.4,5,2,3,0.4
team,LuneX Gaming,DPS,Freja,4,0,4,0.0,4,0,4,0.0
team,LuneX Gaming,DPS,Cassidy,2,0,2,0.0,1,0,1,0.0
team,LuneX Gaming,DPS,Widowmaker,1,0,1,0.0,0,0,0,0.0
team,LuneX Gaming,DPS,Pharah,1,0,1,0.0,0,0,0,0.0
team,LuneX Gaming,Support,Kiriko,21,8,13,0.381,3,2,1,0.6667
team,LuneX Gaming,Support,Lúcio,20,8,12,0.4,9,3,6,0.3333
team,LuneX Gaming,Support,Juno,10,4,6,0.4,2,0,2,0.0
team,LuneX Gaming,Support,Brigitte,8,1,7,0.125,3,0,3,0.0
team,LuneX Gaming,Support,Jetpack Cat,4,0,4,0.0,4,0,4,0.0
team,LuneX Gaming,Support,Illari,2,0,2,0.0,1,0,1,0.0
team,LuneX Gaming,Support,Zenyatta,1,0,1,0.0,1,0,1,0.0
team,LuneX Gaming,Support,Baptiste,1,0,1,0.0,1,0,1,0.0
team,LuneX Gaming,Tank,Orisa,13,4,9,0.3077,9,3,6,0.3333
team,LuneX Gaming,Tank,Zarya,7,3,4,0.4286,5,1,4,0.2
team,LuneX Gaming,Tank,Domina,4,3,1,0.75,4,3,1,0.75
team,LuneX Gaming,Tank,Doomfist,3,0,3,0.0,2,0,2,0.0
team,LuneX Gaming,Tank,Wrecking Ball,2,0,2,0.0,1,0,1,0.0
team,MieMieYang,DPS,Tracer,15,3,12,0.2,2,0,2,0.0
team,MieMieYang,DPS,Sojourn,11,3,8,0.2727,7,1,6,0.1429
team,MieMieYang,DPS,Symmetra,10,3,7,0.3,2,1,1,0.5
team,MieMieYang,DPS,Emre,9,1,8,0.1111,1,1,0,1.0
team,MieMieYang,DPS,Widowmaker,7,0,7,0.0,4,0,4,0.0
team,MieMieYang,DPS,Pharah,5,0,5,0.0,4,0,4,0.0
team,MieMieYang,DPS,Echo,5,0,5,0.0,4,0,4,0.0
team,MieMieYang,DPS,Hanzo,4,0,4,0.0,4,0,4,0.0
team,MieMieYang,DPS,Reaper,1,0,1,0.0,1,0,1,0.0
team,MieMieYang,DPS,Torbjörn,1,0,1,0.0,1,0,1,0.0
team,MieMieYang,DPS,Bastion,1,0,1,0.0,1,0,1,0.0
team,MieMieYang,Support,Kiriko,13,2,11,0.1538,3,0,3,0.0
team,MieMieYang,Support,Lúcio,8,0,8,0.0,2,0,2,0.0
team,MieMieYang,Support,Illari,8,3,5,0.375,3,1,2,0.3333
team,MieMieYang,Support,Ana,7,1,6,0.1429,1,1,0,1.0
team,MieMieYang,Support,Jetpack Cat,4,0,4,0.0,4,0,4,0.0
team,MieMieYang,Support,Brigitte,2,0,2,0.0,2,0,2,0.0
team,MieMieYang,Support,Baptiste,2,0,2,0.0,1,0,1,0.0
team,MieMieYang,Support,Mizuki,1,0,1,0.0,0,0,0,0.0
team,MieMieYang,Tank,D.Va,12,2,10,0.1667,4,0,4,0.0
team,MieMieYang,Tank,Orisa,5,1,4,0.2,5,1,4,0.2
team,MieMieYang,Tank,Zarya,4,0,4,0.0,2,0,2,0.0
team,MieMieYang,Tank,Ramattra,3,0,3,0.0,3,0,3,0.0
team,MieMieYang,Tank,Winston,1,0,1,0.0,0,0,0,0.0
team,MieMieYang,Tank,Wrecking Ball,1,1,0,1.0,1,1,0,1.0
team,MieMieYang,Tank,Doomfist,1,0,1,0.0,1,0,1,0.0
team,Milk Tea,DPS,Symmetra,16,3,13,0.1875,6,0,6,0.0
team,Milk Tea,DPS,Sojourn,15,6,9,0.4,8,5,3,0.625
team,Milk Tea,DPS,Emre,15,4,11,0.2667,1,0,1,0.0
team,Milk Tea,DPS,Cassidy,15,3,12,0.2,13,3,10,0.2308
team,Milk Tea,DPS,Mei,13,5,8,0.3846,11,4,7,0.3636
team,Milk Tea,DPS,Vendetta,10,2,8,0.2,0,0,0,0.0
team,Milk Tea,DPS,Tracer,7,1,6,0.1429,1,0,1,0.0
team,Milk Tea,DPS,Freja,3,1,2,0.3333,3,1,2,0.3333
team,Milk Tea,DPS,Echo,3,1,2,0.3333,3,1,2,0.3333
team,Milk Tea,DPS,Ashe,3,0,3,0.0,3,0,3,0.0
team,Milk Tea,DPS,Pharah,3,0,3,0.0,3,0,3,0.0
team,Milk Tea,DPS,Bastion,3,0,3,0.0,3,0,3,0.0
team,Milk Tea,DPS,Widowmaker,2,1,1,0.5,0,0,0,0.0
team,Milk Tea,DPS,Reaper,2,1,1,0.5,1,1,0,1.0
team,Milk Tea,DPS,Venture,2,0,2,0.0,2,0,2,0.0
team,Milk Tea,DPS,Sierra,2,0,2,0.0,0,0,0,0.0
team,Milk Tea,DPS,Genji,1,1,0,1.0,0,0,0,0.0
team,Milk Tea,DPS,Soldier: 76,1,0,1,0.0,1,0,1,0.0
team,Milk Tea,Support,Kiriko,32,10,22,0.3125,5,0,5,0.0
team,Milk Tea,Support,Lúcio,24,9,15,0.375,6,2,4,0.3333
team,Milk Tea,Support,Juno,23,7,16,0.3043,6,1,5,0.1667
team,Milk Tea,Support,Ana,6,2,4,0.3333,0,0,0,0.0
team,Milk Tea,Support,Illari,5,1,4,0.2,3,1,2,0.3333
team,Milk Tea,Support,Jetpack Cat,4,0,4,0.0,2,0,2,0.0
team,Milk Tea,Support,Brigitte,4,0,4,0.0,2,0,2,0.0
team,Milk Tea,Support,Baptiste,3,1,2,0.3333,3,1,2,0.3333
team,Milk Tea,Support,Wuyang,3,0,3,0.0,1,0,1,0.0
team,Milk Tea,Support,Mercy,2,0,2,0.0,2,0,2,0.0
team,Milk Tea,Support,Mizuki,1,0,1,0.0,1,0,1,0.0
team,Milk Tea,Tank,Zarya,11,3,8,0.2727,4,1,3,0.25
team,Milk Tea,Tank,Ramattra,11,5,6,0.4545,10,5,5,0.5
team,Milk Tea,Tank,Sigma,10,3,7,0.3,8,2,6,0.25
team,Milk Tea,Tank,D.Va,8,1,7,0.125,5,1,4,0.2
team,Milk Tea,Tank,Orisa,5,0,5,0.0,4,0,4,0.0
team,Milk Tea,Tank,Doomfist,5,1,4,0.2,5,1,4,0.2
team,Milk Tea,Tank,Hazard,4,1,3,0.25,3,1,2,0.3333
team,Milk Tea,Tank,Wrecking Ball,4,1,3,0.25,4,1,3,0.25
team,Milk Tea,Tank,Mauga,3,0,3,0.0,3,0,3,0.0
team,Milk Tea,Tank,Roadhog,2,0,2,0.0,2,0,2,0.0
team,Milk Tea,Tank,Winston,1,0,1,0.0,1,0,1,0.0
team,Naive Piggy,DPS,Vendetta,24,11,13,0.4583,7,3,4,0.4286
team,Naive Piggy,DPS,Emre,21,6,15,0.2857,4,2,2,0.5
team,Naive Piggy,DPS,Tracer,19,7,12,0.3684,6,1,5,0.1667
team,Naive Piggy,DPS,Sojourn,18,8,10,0.4444,9,1,8,0.1111
team,Naive Piggy,DPS,Symmetra,18,4,14,0.2222,3,0,3,0.0
team,Naive Piggy,DPS,Cassidy,8,2,6,0.25,8,2,6,0.25
team,Naive Piggy,DPS,Pharah,6,1,5,0.1667,4,1,3,0.25
team,Naive Piggy,DPS,Reaper,5,2,3,0.4,4,2,2,0.5
team,Naive Piggy,DPS,Ashe,3,0,3,0.0,3,0,3,0.0
team,Naive Piggy,DPS,Bastion,2,1,1,0.5,2,1,1,0.5
team,Naive Piggy,DPS,Genji,2,0,2,0.0,1,0,1,0.0
team,Naive Piggy,DPS,Widowmaker,2,1,1,0.5,1,1,0,1.0
team,Naive Piggy,Support,Kiriko,24,8,16,0.3333,2,1,1,0.5
team,Naive Piggy,Support,Juno,23,10,13,0.4348,8,2,6,0.25
team,Naive Piggy,Support,Lúcio,17,5,12,0.2941,3,1,2,0.3333
team,Naive Piggy,Support,Brigitte,16,6,10,0.375,7,2,5,0.2857
team,Naive Piggy,Support,Illari,7,2,5,0.2857,5,1,4,0.2
team,Naive Piggy,Support,Baptiste,5,3,2,0.6,5,3,2,0.6
team,Naive Piggy,Support,Ana,4,1,3,0.25,0,0,0,0.0
team,Naive Piggy,Support,Wuyang,3,1,2,0.3333,3,1,2,0.3333
team,Naive Piggy,Support,Zenyatta,1,0,1,0.0,1,0,1,0.0
team,Naive Piggy,Tank,D.Va,18,6,12,0.3333,14,5,9,0.3571
team,Naive Piggy,Tank,Orisa,16,9,7,0.5625,15,8,7,0.5333
team,Naive Piggy,Tank,Zarya,14,4,10,0.2857,7,2,5,0.2857
team,Naive Piggy,Tank,Hazard,3,0,3,0.0,1,0,1,0.0
team,Naive Piggy,Tank,Reinhardt,1,1,0,1.0,1,1,0,1.0
team,Naive Piggy,Tank,Winston,1,0,1,0.0,1,0,1,0.0
team,Naive Piggy,Tank,Ramattra,1,1,0,1.0,1,1,0,1.0
team,Naive Piggy,Tank,Sigma,1,0,1,0.0,1,0,1,0.0
team,New Era,DPS,Tracer,15,0,15,0.0,5,0,5,0.0
team,New Era,DPS,Emre,14,0,14,0.0,5,0,5,0.0
team,New Era,DPS,Sojourn,11,0,11,0.0,6,0,6,0.0
team,New Era,DPS,Vendetta,9,0,9,0.0,4,0,4,0.0
team,New Era,DPS,Symmetra,9,0,9,0.0,2,0,2,0.0
team,New Era,DPS,Genji,8,0,8,0.0,4,0,4,0.0
team,New Era,DPS,Cassidy,6,0,6,0.0,3,0,3,0.0
team,New Era,DPS,Widowmaker,6,0,6,0.0,3,0,3,0.0
team,New Era,DPS,Venture,2,0,2,0.0,2,0,2,0.0
team,New Era,DPS,Anran,1,0,1,0.0,0,0,0,0.0
team,New Era,DPS,Hanzo,1,0,1,0.0,1,0,1,0.0
team,New Era,Support,Kiriko,15,0,15,0.0,5,0,5,0.0
team,New Era,Support,Brigitte,13,0,13,0.0,8,0,8,0.0
team,New Era,Support,Lúcio,11,0,11,0.0,5,0,5,0.0
team,New Era,Support,Ana,10,0,10,0.0,2,0,2,0.0
team,New Era,Support,Juno,8,0,8,0.0,2,0,2,0.0
team,New Era,Support,Wuyang,4,0,4,0.0,1,0,1,0.0
team,New Era,Support,Illari,3,0,3,0.0,3,0,3,0.0
team,New Era,Support,Zenyatta,2,0,2,0.0,1,0,1,0.0
team,New Era,Support,Mercy,1,0,1,0.0,1,0,1,0.0
team,New Era,Support,Jetpack Cat,1,0,1,0.0,1,0,1,0.0
team,New Era,Support,Baptiste,1,0,1,0.0,1,0,1,0.0
team,New Era,Support,Mizuki,1,0,1,0.0,1,0,1,0.0
team,New Era,Tank,D.Va,9,0,9,0.0,3,0,3,0.0
team,New Era,Tank,Zarya,6,0,6,0.0,2,0,2,0.0
team,New Era,Tank,Orisa,4,0,4,0.0,3,0,3,0.0
team,New Era,Tank,Hazard,4,0,4,0.0,4,0,4,0.0
team,New Era,Tank,Wrecking Ball,4,0,4,0.0,3,0,3,0.0
team,New Era,Tank,Domina,1,0,1,0.0,0,0,0,0.0
team,New Era,Tank,Winston,1,0,1,0.0,0,0,0,0.0
team,New Era,Tank,Doomfist,1,0,1,0.0,1,0,1,0.0
team,Nyam Gaming,DPS,Emre,20,8,12,0.4,7,3,4,0.4286
team,Nyam Gaming,DPS,Vendetta,19,7,12,0.3684,7,2,5,0.2857
team,Nyam Gaming,DPS,Symmetra,16,4,12,0.25,3,1,2,0.3333
team,Nyam Gaming,DPS,Tracer,15,6,9,0.4,4,1,3,0.25
team,Nyam Gaming,DPS,Sojourn,7,1,6,0.1429,5,1,4,0.2
team,Nyam Gaming,DPS,Widowmaker,6,2,4,0.3333,4,1,3,0.25
team,Nyam Gaming,DPS,Echo,4,0,4,0.0,3,0,3,0.0
team,Nyam Gaming,DPS,Venture,2,1,1,0.5,2,1,1,0.5
team,Nyam Gaming,DPS,Cassidy,2,1,1,0.5,1,0,1,0.0
team,Nyam Gaming,DPS,Pharah,1,0,1,0.0,1,0,1,0.0
team,Nyam Gaming,DPS,Torbjörn,1,0,1,0.0,1,0,1,0.0
team,Nyam Gaming,DPS,Freja,1,1,0,1.0,1,1,0,1.0
team,Nyam Gaming,Support,Kiriko,22,8,14,0.3636,6,3,3,0.5
team,Nyam Gaming,Support,Lúcio,15,4,11,0.2667,5,0,5,0.0
team,Nyam Gaming,Support,Wuyang,11,2,9,0.1818,7,1,6,0.1429
team,Nyam Gaming,Support,Brigitte,8,3,5,0.375,3,0,3,0.0
team,Nyam Gaming,Support,Juno,7,2,5,0.2857,0,0,0,0.0
team,Nyam Gaming,Support,Ana,6,1,5,0.1667,2,0,2,0.0
team,Nyam Gaming,Support,Mizuki,2,2,0,1.0,2,2,0,1.0
team,Nyam Gaming,Support,Lifeweaver,2,0,2,0.0,2,0,2,0.0
team,Nyam Gaming,Support,Mercy,1,0,1,0.0,1,0,1,0.0
team,Nyam Gaming,Support,Jetpack Cat,1,0,1,0.0,1,0,1,0.0
team,Nyam Gaming,Tank,Zarya,16,5,11,0.3125,11,3,8,0.2727
team,Nyam Gaming,Tank,D.Va,13,5,8,0.3846,11,4,7,0.3636
team,Nyam Gaming,Tank,Hazard,6,2,4,0.3333,3,1,2,0.3333
team,Nyam Gaming,Tank,Orisa,2,1,1,0.5,2,1,1,0.5
team,Nyam Gaming,Tank,Sigma,2,1,1,0.5,2,1,1,0.5
team,Nyam Gaming,Tank,Wrecking Ball,1,1,0,1.0,1,1,0,1.0
team,Please Not Hero Ban,DPS,Symmetra,25,16,9,0.64,8,5,3,0.625
team,Please Not Hero Ban,DPS,Cassidy,24,15,9,0.625,18,10,8,0.5556
team,Please Not Hero Ban,DPS,Emre,17,7,10,0.4118,4,2,2,0.5
team,Please Not Hero Ban,DPS,Tracer,12,4,8,0.3333,7,4,3,0.5714
team,Please Not Hero Ban,DPS,Vendetta,9,5,4,0.5556,7,3,4,0.4286
team,Please Not Hero Ban,DPS,Sojourn,4,0,4,0.0,3,0,3,0.0
team,Please Not Hero Ban,DPS,Echo,3,1,2,0.3333,2,0,2,0.0
team,Please Not Hero Ban,DPS,Torbjörn,3,1,2,0.3333,3,1,2,0.3333
team,Please Not Hero Ban,DPS,Reaper,2,0,2,0.0,2,0,2,0.0
team,Please Not Hero Ban,DPS,Widowmaker,2,1,1,0.5,0,0,0,0.0
team,Please Not Hero Ban,DPS,Ashe,1,1,0,1.0,0,0,0,0.0
team,Please Not Hero Ban,DPS,Mei,1,0,1,0.0,1,0,1,0.0
team,Please Not Hero Ban,Support,Kiriko,27,17,10,0.6296,4,1,3,0.25
team,Please Not Hero Ban,Support,Lúcio,17,10,7,0.5882,3,1,2,0.3333
team,Please Not Hero Ban,Support,Illari,8,5,3,0.625,8,5,3,0.625
team,Please Not Hero Ban,Support,Baptiste,7,4,3,0.5714,6,3,3,0.5
team,Please Not Hero Ban,Support,Juno,7,1,6,0.1429,0,0,0,0.0
team,Please Not Hero Ban,Support,Mizuki,5,3,2,0.6,4,3,1,0.75
team,Please Not Hero Ban,Support,Ana,5,3,2,0.6,3,1,2,0.3333
team,Please Not Hero Ban,Support,Brigitte,4,1,3,0.25,2,1,1,0.5
team,Please Not Hero Ban,Support,Jetpack Cat,3,2,1,0.6667,2,1,1,0.5
team,Please Not Hero Ban,Support,Wuyang,1,1,0,1.0,1,1,0,1.0
team,Please Not Hero Ban,Tank,D.Va,18,8,10,0.4444,11,6,5,0.5455
team,Please Not Hero Ban,Tank,Orisa,11,7,4,0.6364,7,4,3,0.5714
team,Please Not Hero Ban,Tank,Zarya,5,3,2,0.6,3,2,1,0.6667
team,Please Not Hero Ban,Tank,Mauga,4,1,3,0.25,1,1,0,1.0
team,Please Not Hero Ban,Tank,Ramattra,3,1,2,0.3333,2,0,2,0.0
team,Please Not Hero Ban,Tank,Wrecking Ball,3,2,1,0.6667,2,1,1,0.5
team,Please Not Hero Ban,Tank,Winston,2,2,0,1.0,2,2,0,1.0
team,Please Not Hero Ban,Tank,Hazard,2,2,0,1.0,2,2,0,1.0
team,Please Not Hero Ban,Tank,Sigma,1,1,0,1.0,1,1,0,1.0
team,Poker Face,DPS,Emre,18,5,13,0.2778,6,2,4,0.3333
team,Poker Face,DPS,Symmetra,15,4,11,0.2667,2,2,0,1.0
team,Poker Face,DPS,Tracer,15,2,13,0.1333,2,0,2,0.0
team,Poker Face,DPS,Widowmaker,14,4,10,0.2857,10,2,8,0.2
team,Poker Face,DPS,Vendetta,12,5,7,0.4167,2,0,2,0.0
team,Poker Face,DPS,Sojourn,8,1,7,0.125,3,0,3,0.0
team,Poker Face,DPS,Hanzo,4,2,2,0.5,4,2,2,0.5
team,Poker Face,DPS,Echo,4,1,3,0.25,2,1,1,0.5
team,Poker Face,DPS,Pharah,4,1,3,0.25,2,0,2,0.0
team,Poker Face,DPS,Bastion,4,1,3,0.25,0,0,0,0.0
team,Poker Face,DPS,Cassidy,3,0,3,0.0,2,0,2,0.0
team,Poker Face,DPS,Mei,2,1,1,0.5,1,1,0,1.0
team,Poker Face,DPS,Sierra,2,0,2,0.0,2,0,2,0.0
team,Poker Face,DPS,Venture,1,0,1,0.0,1,0,1,0.0
team,Poker Face,DPS,Reaper,1,0,1,0.0,1,0,1,0.0
team,Poker Face,Support,Kiriko,22,6,16,0.2727,4,0,4,0.0
team,Poker Face,Support,Lúcio,22,6,16,0.2727,7,2,5,0.2857
team,Poker Face,Support,Juno,8,2,6,0.25,5,1,4,0.2
team,Poker Face,Support,Ana,6,2,4,0.3333,1,0,1,0.0
team,Poker Face,Support,Jetpack Cat,6,2,4,0.3333,1,1,0,1.0
team,Poker Face,Support,Wuyang,5,2,3,0.4,3,0,3,0.0
team,Poker Face,Support,Illari,2,0,2,0.0,1,0,1,0.0
team,Poker Face,Support,Brigitte,2,0,2,0.0,0,0,0,0.0
team,Poker Face,Support,Baptiste,1,1,0,1.0,1,1,0,1.0
team,Poker Face,Support,Zenyatta,1,0,1,0.0,1,0,1,0.0
team,Poker Face,Tank,Zarya,12,3,9,0.25,6,3,3,0.5
team,Poker Face,Tank,Hazard,10,1,9,0.1,6,1,5,0.1667
team,Poker Face,Tank,D.Va,9,5,4,0.5556,3,1,2,0.3333
team,Poker Face,Tank,Wrecking Ball,5,1,4,0.2,5,1,4,0.2
team,Poker Face,Tank,Mauga,5,0,5,0.0,3,0,3,0.0
team,Poker Face,Tank,Ramattra,3,1,2,0.3333,3,1,2,0.3333
team,Poker Face,Tank,Winston,2,0,2,0.0,1,0,1,0.0
team,Poker Face,Tank,Orisa,1,0,1,0.0,0,0,0,0.0
team,Poker Face,Tank,Doomfist,1,0,1,0.0,1,0,1,0.0
team,Quasar Esports,DPS,Tracer,17,7,10,0.4118,6,2,4,0.3333
team,Quasar Esports,DPS,Sojourn,13,6,7,0.4615,7,2,5,0.2857
team,Quasar Esports,DPS,Symmetra,10,3,7,0.3,3,1,2,0.3333
team,Quasar Esports,DPS,Cassidy,9,4,5,0.4444,3,2,1,0.6667
team,Quasar Esports,DPS,Emre,8,4,4,0.5,4,2,2,0.5
team,Quasar Esports,DPS,Vendetta,3,0,3,0.0,2,0,2,0.0
team,Quasar Esports,DPS,Hanzo,2,1,1,0.5,0,0,0,0.0
team,Quasar Esports,DPS,Widowmaker,2,1,1,0.5,2,1,1,0.5
team,Quasar Esports,DPS,Genji,2,1,1,0.5,2,1,1,0.5
team,Quasar Esports,DPS,Ashe,2,2,0,1.0,2,2,0,1.0
team,Quasar Esports,DPS,Mei,2,1,1,0.5,2,1,1,0.5
team,Quasar Esports,DPS,Bastion,2,0,2,0.0,2,0,2,0.0
team,Quasar Esports,DPS,Soldier: 76,1,1,0,1.0,1,1,0,1.0
team,Quasar Esports,DPS,Reaper,1,0,1,0.0,1,0,1,0.0
team,Quasar Esports,Support,Kiriko,17,7,10,0.4118,5,2,3,0.4
team,Quasar Esports,Support,Lúcio,11,3,8,0.2727,4,1,3,0.25
team,Quasar Esports,Support,Ana,8,5,3,0.625,3,1,2,0.3333
team,Quasar Esports,Support,Mizuki,5,2,3,0.4,2,1,1,0.5
team,Quasar Esports,Support,Juno,4,1,3,0.25,3,1,2,0.3333
team,Quasar Esports,Support,Jetpack Cat,3,0,3,0.0,2,0,2,0.0
team,Quasar Esports,Support,Baptiste,3,2,1,0.6667,1,1,0,1.0
team,Quasar Esports,Support,Illari,1,1,0,1.0,1,1,0,1.0
team,Quasar Esports,Support,Wuyang,1,0,1,0.0,1,0,1,0.0
team,Quasar Esports,Tank,D.Va,11,4,7,0.3636,3,0,3,0.0
team,Quasar Esports,Tank,Winston,6,3,3,0.5,4,1,3,0.25
team,Quasar Esports,Tank,Zarya,2,0,2,0.0,0,0,0,0.0
team,Quasar Esports,Tank,Ramattra,2,1,1,0.5,2,1,1,0.5
team,Quasar Esports,Tank,Domina,2,1,1,0.5,2,1,1,0.5
team,Quasar Esports,Tank,Roadhog,1,1,0,1.0,1,1,0,1.0
team,Quasar Esports,Tank,Orisa,1,0,1,0.0,1,0,1,0.0
team,Quasar Esports,Tank,Mauga,1,0,1,0.0,1,0,1,0.0
team,Rankers,DPS,Reaper,14,8,6,0.5714,13,8,5,0.6154
team,Rankers,DPS,Tracer,10,7,3,0.7,1,1,0,1.0
team,Rankers,DPS,Symmetra,9,7,2,0.7778,1,1,0,1.0
team,Rankers,DPS,Echo,7,4,3,0.5714,7,4,3,0.5714
