scope_type,scope_name,role,hero_name,map_sets_played,map_set_wins,map_set_losses,win_rate,non_mirror_map_sets_played,non_mirror_wins,non_mirror_losses,non_mirror_win_rate
team,All Gamers,DPS,Echo,5,2,3,0.4,4,2,2,0.5
team,All Gamers,DPS,Venture,4,1,3,0.25,3,1,2,0.3333
team,All Gamers,DPS,Hanzo,4,2,2,0.5,4,2,2,0.5
team,All Gamers,DPS,Anran,2,0,2,0.0,1,0,1,0.0
team,All Gamers,Support,Kiriko,40,24,16,0.6,2,0,2,0.0
team,All Gamers,Support,Lúcio,34,21,13,0.6176,6,5,1,0.8333
team,All Gamers,Support,Juno,24,16,8,0.6667,11,7,4,0.6364
team,All Gamers,Support,Jetpack Cat,21,10,11,0.4762,6,4,2,0.6667
team,All Gamers,Support,Ana,16,10,6,0.625,5,4,1,0.8
team,All Gamers,Support,Brigitte,12,8,4,0.6667,5,4,1,0.8
team,All Gamers,Support,Baptiste,7,4,3,0.5714,5,3,2,0.6
team,All Gamers,Support,Illari,3,1,2,0.3333,1,1,0,1.0
team,All Gamers,Support,Lifeweaver,3,3,0,1.0,3,3,0,1.0
team,All Gamers,Support,Mercy,3,1,2,0.3333,3,1,2,0.3333
team,All Gamers,Support,Mizuki,2,0,2,0.0,1,0,1,0.0
team,All Gamers,Support,Wuyang,2,2,0,1.0,1,1,0,1.0
team,All Gamers,Tank,D.Va,24,17,7,0.7083,10,5,5,0.5
team,All Gamers,Tank,Mauga,17,7,10,0.4118,11,5,6,0.4545
team,All Gamers,Tank,Zarya,11,8,3,0.7273,5,4,1,0.8
team,All Gamers,Tank,Wrecking Ball,6,3,3,0.5,5,3,2,0.6
team,All Gamers,Tank,Ramattra,5,1,4,0.2,4,0,4,0.0
team,All Gamers,Tank,Reinhardt,5,3,2,0.6,5,3,2,0.6
team,All Gamers,Tank,Winston,4,2,2,0.5,1,1,0,1.0
team,All Gamers,Tank,Domina,3,0,3,0.0,0,0,0,0.0
team,All Gamers,Tank,Sigma,3,1,2,0.3333,2,0,2,0.0
team,All Gamers,Tank,Orisa,2,2,0,1.0,2,2,0,1.0
team,All Gamers,Tank,Hazard,2,0,2,0.0,1,0,1,0.0
team,All Gamers,Tank,Doomfist,1,0,1,0.0,1,0,1,0.0
team,Anyone's Legend,DPS,Emre,13,3,10,0.2308,0,0,0,0.0
team,Anyone's Legend,DPS,Tracer,11,3,8,0.2727,1,0,1,0.0
team,Anyone's Legend,DPS,Vendetta,9,1,8,0.1111,2,0,2,0.0
team,Anyone's Legend,DPS,Sojourn,7,2,5,0.2857,4,0,4,0.0
team,Anyone's Legend,DPS,Widowmaker,5,2,3,0.4,3,2,1,0.6667
team,Anyone's Legend,DPS,Echo,5,0,5,0.0,5,0,5,0.0
team,Anyone's Legend,DPS,Pharah,4,1,3,0.25,3,1,2,0.3333
team,Anyone's Legend,DPS,Freja,1,0,1,0.0,1,0,1,0.0
team,Anyone's Legend,DPS,Symmetra,1,1,0,1.0,0,0,0,0.0
team,Anyone's Legend,DPS,Reaper,1,0,1,0.0,1,0,1,0.0
team,Anyone's Legend,Support,Kiriko,17,4,13,0.2353,1,1,0,1.0
team,Anyone's Legend,Support,Lúcio,15,3,12,0.2,0,0,0,0.0
team,Anyone's Legend,Support,Juno,10,2,8,0.2,3,0,3,0.0
team,Anyone's Legend,Support,Brigitte,3,1,2,0.3333,0,0,0,0.0
team,Anyone's Legend,Support,Lifeweaver,2,1,1,0.5,2,1,1,0.5
team,Anyone's Legend,Support,Ana,2,0,2,0.0,1,0,1,0.0
team,Anyone's Legend,Support,Illari,1,1,0,1.0,1,1,0,1.0
team,Anyone's Legend,Support,Jetpack Cat,1,0,1,0.0,1,0,1,0.0
team,Anyone's Legend,Tank,Zarya,7,0,7,0.0,0,0,0,0.0
team,Anyone's Legend,Tank,Mauga,7,4,3,0.5714,3,1,2,0.3333
team,Anyone's Legend,Tank,Winston,5,0,5,0.0,5,0,5,0.0
team,Anyone's Legend,Tank,Wrecking Ball,5,1,4,0.2,4,1,3,0.25
team,Anyone's Legend,Tank,D.Va,4,2,2,0.5,2,0,2,0.0
team,Anyone's Legend,Tank,Doomfist,2,0,2,0.0,2,0,2,0.0
team,Anyone's Legend,Tank,Orisa,1,0,1,0.0,1,0,1,0.0
team,Cheeseburger,DPS,Tracer,28,6,22,0.2143,5,0,5,0.0
team,Cheeseburger,DPS,Symmetra,14,2,12,0.1429,5,1,4,0.2
team,Cheeseburger,DPS,Sojourn,12,1,11,0.0833,6,0,6,0.0
team,Cheeseburger,DPS,Emre,12,1,11,0.0833,3,1,2,0.3333
team,Cheeseburger,DPS,Vendetta,9,0,9,0.0,1,0,1,0.0
team,Cheeseburger,DPS,Widowmaker,8,1,7,0.125,5,1,4,0.2
team,Cheeseburger,DPS,Genji,7,1,6,0.1429,0,0,0,0.0
team,Cheeseburger,DPS,Cassidy,6,1,5,0.1667,3,0,3,0.0
team,Cheeseburger,DPS,Pharah,6,1,5,0.1667,2,1,1,0.5
team,Cheeseburger,DPS,Bastion,6,3,3,0.5,0,0,0,0.0
team,Cheeseburger,DPS,Echo,4,1,3,0.25,3,0,3,0.0
team,Cheeseburger,DPS,Freja,2,1,1,0.5,2,1,1,0.5
team,Cheeseburger,DPS,Anran,2,0,2,0.0,2,0,2,0.0
team,Cheeseburger,DPS,Hanzo,2,0,2,0.0,2,0,2,0.0
team,Cheeseburger,DPS,Mei,2,1,1,0.5,1,0,1,0.0
team,Cheeseburger,DPS,Reaper,1,0,1,0.0,1,0,1,0.0
team,Cheeseburger,Support,Lúcio,24,2,22,0.0833,4,1,3,0.25
team,Cheeseburger,Support,Ana,20,5,15,0.25,3,1,2,0.3333
team,Cheeseburger,Support,Kiriko,18,2,16,0.1111,1,1,0,1.0
team,Cheeseburger,Support,Brigitte,9,2,7,0.2222,5,0,5,0.0
team,Cheeseburger,Support,Jetpack Cat,9,3,6,0.3333,1,0,1,0.0
team,Cheeseburger,Support,Juno,8,1,7,0.125,5,1,4,0.2
team,Cheeseburger,Support,Wuyang,4,0,4,0.0,2,0,2,0.0
team,Cheeseburger,Support,Zenyatta,2,1,1,0.5,1,0,1,0.0
team,Cheeseburger,Support,Lifeweaver,1,0,1,0.0,0,0,0,0.0
team,Cheeseburger,Tank,Winston,12,3,9,0.25,4,1,3,0.25
team,Cheeseburger,Tank,Zarya,10,1,9,0.1,3,0,3,0.0
team,Cheeseburger,Tank,D.Va,8,2,6,0.25,3,2,1,0.6667
team,Cheeseburger,Tank,Hazard,7,0,7,0.0,3,0,3,0.0
team,Cheeseburger,Tank,Doomfist,6,0,6,0.0,6,0,6,0.0
team,Cheeseburger,Tank,Mauga,6,1,5,0.1667,5,0,5,0.0
team,Cheeseburger,Tank,Orisa,3,0,3,0.0,3,0,3,0.0
team,Cheeseburger,Tank,Sigma,3,0,3,0.0,2,0,2,0.0
team,Cheeseburger,Tank,Ramattra,1,0,1,0.0,1,0,1,0.0
team,Cheeseburger,Tank,Roadhog,1,0,1,0.0,1,0,1,0.0
team,Crazy Raccoon,DPS,Tracer,41,25,16,0.6098,8,7,1,0.875
team,Crazy Raccoon,DPS,Symmetra,30,18,12,0.6,7,4,3,0.5714
team,Crazy Raccoon,DPS,Sojourn,23,10,13,0.4348,8,3,5,0.375
team,Crazy Raccoon,DPS,Vendetta,20,12,8,0.6,6,3,3,0.5
team,Crazy Raccoon,DPS,Emre,19,13,6,0.6842,1,1,0,1.0
team,Crazy Raccoon,DPS,Pharah,12,11,1,0.9167,8,7,1,0.875
team,Crazy Raccoon,DPS,Cassidy,8,3,5,0.375,3,0,3,0.0
team,Crazy Raccoon,DPS,Genji,8,4,4,0.5,3,2,1,0.6667
team,Crazy Raccoon,DPS,Bastion,7,5,2,0.7143,2,2,0,1.0
team,Crazy Raccoon,DPS,Widowmaker,6,5,1,0.8333,4,3,1,0.75
team,Crazy Raccoon,DPS,Mei,5,4,1,0.8,3,2,1,0.6667
team,Crazy Raccoon,DPS,Anran,3,2,1,0.6667,0,0,0,0.0
team,Crazy Raccoon,DPS,Ashe,3,2,1,0.6667,3,2,1,0.6667
team,Crazy Raccoon,DPS,Sombra,3,1,2,0.3333,2,1,1,0.5
team,Crazy Raccoon,DPS,Reaper,3,2,1,0.6667,3,2,1,0.6667
team,Crazy Raccoon,DPS,Hanzo,2,2,0,1.0,1,1,0,1.0
team,Crazy Raccoon,DPS,Echo,2,2,0,1.0,2,2,0,1.0
team,Crazy Raccoon,DPS,Torbjörn,1,0,1,0.0,0,0,0,0.0
team,Crazy Raccoon,DPS,Venture,1,1,0,1.0,0,0,0,0.0
team,Crazy Raccoon,DPS,Soldier: 76,1,0,1,0.0,1,0,1,0.0
team,Crazy Raccoon,DPS,Sierra,1,1,0,1.0,1,1,0,1.0
team,Crazy Raccoon,Support,Kiriko,38,25,13,0.6579,3,0,3,0.0
team,Crazy Raccoon,Support,Lúcio,37,22,15,0.5946,5,3,2,0.6
team,Crazy Raccoon,Support,Jetpack Cat,22,13,9,0.5909,11,6,5,0.5455
team,Crazy Raccoon,Support,Ana,16,8,8,0.5,5,3,2,0.6
team,Crazy Raccoon,Support,Juno,15,12,3,0.8,7,5,2,0.7143
team,Crazy Raccoon,Support,Brigitte,8,5,3,0.625,2,1,1,0.5
team,Crazy Raccoon,Support,Wuyang,7,4,3,0.5714,4,3,1,0.75
team,Crazy Raccoon,Support,Mizuki,4,3,1,0.75,1,1,0,1.0
team,Crazy Raccoon,Support,Baptiste,4,1,3,0.25,4,1,3,0.25
team,Crazy Raccoon,Support,Illari,2,0,2,0.0,2,0,2,0.0
team,Crazy Raccoon,Support,Lifeweaver,1,0,1,0.0,1,0,1,0.0
team,Crazy Raccoon,Tank,D.Va,25,16,9,0.64,11,8,3,0.7273
team,Crazy Raccoon,Tank,Zarya,14,13,1,0.9286,4,3,1,0.75
team,Crazy Raccoon,Tank,Mauga,9,6,3,0.6667,6,5,1,0.8333
team,Crazy Raccoon,Tank,Winston,8,1,7,0.125,3,0,3,0.0
team,Crazy Raccoon,Tank,Domina,7,3,4,0.4286,2,0,2,0.0
team,Crazy Raccoon,Tank,Wrecking Ball,7,3,4,0.4286,3,2,1,0.6667
team,Crazy Raccoon,Tank,Ramattra,6,6,0,1.0,5,5,0,1.0
team,Crazy Raccoon,Tank,Orisa,5,3,2,0.6,4,3,1,0.75
team,Crazy Raccoon,Tank,Sigma,4,2,2,0.5,3,1,2,0.3333
team,Crazy Raccoon,Tank,Hazard,4,2,2,0.5,4,2,2,0.5
team,Crazy Raccoon,Tank,Reinhardt,1,0,1,0.0,1,0,1,0.0
team,Crazy Raccoon,Tank,Roadhog,1,1,0,1.0,1,1,0,1.0
